,Cancer,predicted_label,ITH,MCE,Scent,B,CD4T,CD8Tex,CD8T,DC,Fibroblasts,Monocytes,Neutrophil,NK,Treg,PRAD,STAD,KICH,SKCM,DLBC,THCA,ESCA,PAAD,LUAD,UVM,COADREAD,KIRC,OV,GBM,CESC,CHOL,LIHC,BRCA,MB,HNSC,MDSC,stem
TCGA-05-4244-01,LUAD,ECSC,1.55056795179276,0.865285949638973,0.963758291614521,0.0,0.0,0.0,0.0198114683242406,0.0,0.0151284429328139,0.131897116152323,0.0,0.0658322251771839,0.0,0.0,0.0363942115270828,0.0,0.0559795301833875,0.0123025615227791,0.0,0.0,0.15937977584341,0.0848141485817416,0.0387049725199793,0.0,0.0408477955408031,0.0,0.0335461921596403,0.0404390512707487,0.0,0.0155511869033872,0.0794827728445816,0.0,0.0660539880530721,0.0938186546227767,0.0100159058400487
TCGA-05-4249-01,LUAD,MCSC,1.52266510759396,0.863654951440443,0.962888746983539,0.0,0.0,0.0,0.0260384379894592,0.0,0.0198181077435183,0.20545890813664,0.0,0.0,0.0,0.0,0.0557035164955277,0.0,0.0183037271777637,0.0,0.0,0.0,0.17013722551978,0.0879487032118398,0.0296265757327329,0.0,0.0152857429901391,0.0028287184066968,0.077933000530042,0.0352908385048951,0.0,0.0,0.0884152113044604,0.0,0.0524088254873943,0.108048654594924,0.0067538061741868
TCGA-05-4250-01,LUAD,MCSC,1.48159615350153,0.86799257578174,0.965141797928747,0.0,0.0,0.0,0.0503799797939735,0.0,0.0421236225912936,0.105904738382716,0.0,0.237813655639904,0.0,0.0,0.0680657916287653,0.0,0.0,0.0169309806475295,0.0,0.0,0.112939527141237,0.0379511168074986,0.0591966024018916,0.0,0.0264502631913708,0.0,0.0,0.0268964450048546,0.0,0.0183927921671728,0.0101325221446066,0.0,0.0784340102128084,0.079970807351031,0.028417144893347
TCGA-05-4382-01,LUAD,ECSC,1.86192761899158,0.863093950716752,0.962963920485484,0.0,0.0,0.0020048545656339,0.0,0.0026547002615586,0.11284894277183,0.0487887103231184,0.0,0.157974795974401,0.0,0.0,0.0897951440606169,0.0,0.0240140951077125,0.0268038858226214,0.0069196329960048,0.0,0.122032755598765,0.0346861559979118,0.0701868661962753,0.0,0.0231230657635428,0.0,0.0178354621610571,0.0575377955798012,0.0,0.0,0.0258439326931093,0.0,0.052524528197919,0.123120557925427,0.0013041180026935
TCGA-05-4384-01,LUAD,Differentiated,1.33504398627245,0.862890422886186,0.962011962466808,0.0,0.0,0.0,0.006877638393835,0.0,0.0582351770456315,0.261476956669184,0.0,0.0,0.0,0.0,0.0653261800028321,0.0,0.0630624995177502,0.0008774835632153,0.0,0.0,0.118391757218333,0.0417479857904766,0.0019141073906204,0.0,0.0183273212566268,0.0,0.0560777205245012,0.0231414088596336,0.0,0.0333545684504358,0.1151053248946,0.0,0.0365829711071307,0.0995008993151947,0.0
TCGA-05-4389-01,LUAD,ECSC,1.57137819741646,0.8659442163705,0.964261588211536,0.0,0.0,0.0158861223138792,0.0504344803071997,0.0103297882874377,0.0,0.185151877625206,0.0,0.0,0.0,0.0,0.0370962760071718,0.0,0.0,0.0002041785082323,0.0,0.0083983909312361,0.105521086475997,0.07587010806279,0.0494796545204643,0.0,0.0490045260680568,0.0028373083437133,0.0446526587506339,0.029423718249223,0.0,0.0378297827132802,0.0560699781367528,0.0,0.0684427532963991,0.128101854595662,0.0452654568066651
TCGA-05-4390-01,LUAD,ECSC,1.57305626685508,0.865292140687956,0.964681402625782,0.0,0.0,0.0,0.0017940455752636,0.0,0.0403339331935972,0.378719322616989,0.0,0.0,0.0217786756037008,0.0,0.0492017499587203,0.0,0.0,0.0159346852880998,0.0,0.0027588096294435,0.0458026310989596,0.0754704152080448,0.0411200041903924,0.0,0.0008404628349161,0.0230277916304334,0.0385669873832313,0.0392511428588413,0.0,0.0231605566179409,0.0649501259333105,0.0,0.0238300652173596,0.0629458063566585,0.0505127888040976
TCGA-05-4395-01,LUAD,iPCSC,1.69930873087471,0.869917291748319,0.965579753071035,0.0,0.0,0.0,0.0269857572998911,0.0,0.0257657311549595,0.118761627342363,0.0,0.0,0.0,0.0,0.0625457817693482,0.0,0.0079571232623086,0.0287244179829524,0.0,0.0084925444692307,0.138335467714333,0.0283087001722935,0.0333371528460159,0.0,0.0206237805727728,0.0205975488654111,0.0,0.0568652420338214,0.0453268241497301,0.0,0.111554936676925,0.0,0.126198287033789,0.0860766543731488,0.0535424222807053
TCGA-05-4396-01,LUAD,ECSC,1.58841185792346,0.8638529426137,0.962013515686388,0.0,0.0,0.0,0.0040279140040646,0.0,0.022465075309093,0.373176064273501,0.0,0.0,0.0,0.0,0.0403972943269045,0.0,0.0294621690506932,0.0,0.0127210147561495,0.0,0.110480433096226,0.0590848454840927,0.0401367539635946,0.0,0.0256571309729687,0.0,0.0344677225136863,0.0125369437848943,0.0,0.0177355953061221,0.100985453762415,0.0001313432854957,0.0587573080487244,0.0543745210534664,0.0034024170079074
TCGA-05-4397-01,LUAD,ECSC,1.90237132341477,0.86672361279838,0.964292798066517,0.0,0.0,0.0,0.0043293775637479,0.0,0.0054822521016322,0.176071108147762,0.0,0.114164604686012,0.0,0.0,0.0,0.0,0.0853627663400251,0.0,0.0,0.0087596098111956,0.0570001463669529,0.0,0.0707625131314303,0.0,0.0608647248504983,0.0206559928097654,0.0061276432383445,0.0710922395665254,0.0039194389483376,0.0,0.0716495006477154,0.0,0.0616999957231041,0.0924248459173603,0.089633240149591
