,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,251763.287592375,3.2820340995784747,0.06621345810033803,49.567477575404254,0.0,0.0
A1CF,13435.850450424692,1.3130990714614739,0.16375010977064527,8.01892025172167,1.0667873537279758e-15,1.85281244436523e-15
A2BP1,3611.8779131307515,-2.120791033711559,0.11086183298671755,-19.130037602442066,1.419717579479983e-81,6.833985850893239e-81
A2LD1,13518.32323952092,0.3527280866771917,0.025474860041249946,13.84612461485715,1.342628282667519e-43,3.722775314557131e-43
A2ML1,108827.22910210963,3.206642243405746,0.10194132838431166,31.455762782656016,3.5011006788542715e-217,7.57219989543487e-216
A2M,2148856.776721568,0.00597472593262624,0.0381926129496831,0.156436689484892,0.8756888191382356,0.890166267773906
A4GALT,56686.666359376606,0.4604833208694709,0.03562325042530211,12.92648243413531,3.1908660182533077e-38,8.13179378956816e-38
A4GNT,867.528613995754,-2.3319228359523994,0.09031892495086083,-25.818762094667445,5.459642329538485e-147,5.826672296317107e-146
AAA1,98.71905173294284,0.5318401863651568,0.16063556086085784,3.310849624547554,0.0009301317757789329,0.0011809870797088303
AAAS,81681.93163541114,0.15485558562018278,0.010762829711549068,14.387999231653254,6.155087734221229e-47,1.7980241935821795e-46
AACSL,656.1358526098912,-0.34617093189748044,0.10364040063537358,-3.3401157249032143,0.000837434858903705,0.0010655501249395563
AACS,89374.217421716,0.20990496305453454,0.019105454605251544,10.98665105811393,4.430621730800541e-28,9.619374169538362e-28
AADACL2,335.86309202043975,1.994841010528744,0.18664527545682458,10.687873055700237,1.1600065777764881e-26,2.457677896201029e-26
AADACL3,55.0337978226375,1.251390258740713,0.23432470184503776,5.340411185365661,9.273600150501926e-08,1.339980903535784e-07
AADACL4,19.3246266934665,-0.19165060042116003,0.1864541217711239,-1.0278700122082305,0.30401097733173676,0.3305498135834762
AADAC,44777.53977593887,2.309676060622447,0.11437541539985388,20.193815712475196,1.1095524224402358e-90,5.999365276701296e-90
AADAT,15517.657614037418,0.18123628435347963,0.036248509450799736,4.999827223226171,5.738171069288031e-07,8.104882892785759e-07
AAGAB,111560.74014516675,0.06275285875353215,0.013793182889139177,4.549556056633169,5.375921184960091e-06,7.384634716273473e-06
AAK1,123624.34684457224,-0.2303016923166157,0.019841797435151947,-11.606896656883047,3.8016387325644958e-31,8.668042962710354e-31
AAMP,259676.61692806744,0.11069597885210161,0.011291633235080213,9.803362945600957,1.0889840770381183e-22,2.1546766416371553e-22
AANAT,136.07474187251512,-0.38335878729169715,0.06741963026195269,-5.686159740155683,1.2992787173994607e-08,1.9193525772311698e-08
AARS2,55094.37397217345,0.16894620559315435,0.014889044592303387,11.347014547897045,7.673829776458874e-30,1.7134150697804827e-29
AARSD1,59153.42698337742,0.14282205083489327,0.01577798215173652,9.051984560596953,1.4039315748325827e-19,2.6244893369149187e-19
AARS,373188.95220419543,0.04162932731362375,0.015508563892620387,2.6842799631133287,0.0072686211455066626,0.008854960945370022
AASDHPPT,91969.92710005646,-0.12225337897095342,0.01480358358171095,-8.25836381415045,1.4768283501883183e-16,2.6052189115916316e-16
AASDH,26476.189087894938,-0.17191669511390212,0.014162206795608038,-12.139117695076777,6.5528807550253125e-34,1.561459186585589e-33
AASS,49814.62516141912,-0.08008811953186869,0.03476518050489979,-2.303687723427212,0.021240179477165895,0.025205838642523633
AATF,141169.6403990957,0.2188281998156354,0.013373942704868082,16.362280342055186,3.555606275478821e-60,1.2545717565628462e-59
AATK,31386.20244842094,-1.2118341286091552,0.04297306848941281,-28.199851004535834,5.872211573213109e-175,8.604121665805125e-174
ABAT,220205.41533485157,-0.09189254434658153,0.048668744281056615,-1.8881223607478395,0.059009525608460185,0.06817449280105482
ABCA10,2907.8162333686814,-0.21460014098998845,0.04345556487267061,-4.938381116867069,7.877377733174555e-07,1.1081033427257987e-06
ABCA11P,9699.967248967645,-0.22715076915314553,0.018534764678547238,-12.255389970829114,1.57191342570368e-34,3.777492270624784e-34
ABCA12,25471.612839939895,1.1080471301424046,0.07376546853260155,15.021217273942886,5.331948126125448e-51,1.64717377448247e-50
ABCA13,20963.893862368805,0.73153517107253,0.071041438350593,10.297302364042348,7.2464941278356655e-25,1.4903056638006414e-24
ABCA17P,2444.6876226382656,-0.1980602485091745,0.051001660919086006,-3.8834078133925196,0.00010300259479063637,0.00013585928769792814
ABCA1,131641.43073661515,-0.21034810521681785,0.027279991525588753,-7.710710064536142,1.2511962269163506e-14,2.123444430470444e-14
ABCA2,219555.20671641125,-0.63933761955966,0.028127643481863772,-22.729867860131762,2.270174440456761e-114,1.645391389322507e-113
ABCA3,198931.28649876185,-1.4327447607168098,0.04170972457769977,-34.35037692583641,1.3902818106431906e-258,4.235780750031469e-257
ABCA4,9085.637375612545,-0.514341585911434,0.06297455905638288,-8.167450373903048,3.149752440872845e-16,5.52618635143484e-16
ABCA5,43405.0423001896,0.0015306296828588738,0.027554624846675976,0.05554892114756989,0.9557011566464428,0.9613220946013149
ABCA6,21850.17248854398,1.0208914875409978,0.05580457285970532,18.29404715824195,9.230084397594172e-75,4.0242218864575105e-74
ABCA7,48472.415523124146,-0.0044464764040728815,0.02746672526174453,-0.16188593149347527,0.8713956817221444,0.8863333956923926
ABCA8,30739.845520445753,-0.49090740280088174,0.05647162537483423,-8.692992268992626,3.530164045206843e-18,6.428012762642004e-18
ABCA9,8416.227593933261,-0.48958576748819516,0.04654487507097277,-10.518575175927806,7.093818829573697e-26,1.4809047165810225e-25
ABCB10,51216.99322750378,-0.053328778609539,0.01674927786733448,-3.1839449456829554,0.00145282641183652,0.0018307177966501674
ABCB11,4075.843806096945,3.3232733919793076,0.11093463262376402,29.957041488118723,3.5623804561544084e-197,6.450317352638302e-196
ABCB1,41026.37700166185,-0.06743264810661245,0.04855534828529768,-1.3887790014479358,0.16489996244965321,0.18381224864581786
ABCB4,23495.819872120224,2.2691665554545657,0.05912832369391026,38.3769810083128,0.0,0.0
ABCB5,8075.8840101579835,1.0698468110241255,0.10512932572177937,10.176483142823848,2.525233059267712e-24,5.143983907738612e-24
ABCB6,84041.10231988688,0.15877004469265918,0.02423313259401606,6.5517755113453475,5.685697075940107e-11,8.892285167873132e-11
ABCB7,45788.82458474211,0.001478827285481294,0.011865980358623195,0.12462748469043325,0.9008184683962241,0.9132936867988419
ABCB8,84183.00552614806,0.19277002529387727,0.015660827020337494,12.309057819458824,8.096280175873657e-35,1.9569536121066586e-34
ABCB9,18072.03180908345,-0.12016207489837422,0.022371815904883713,-5.371136407042538,7.824199427117015e-08,1.1328835140913878e-07
ABCC10,57727.27742720327,0.2297906605345826,0.01640628974805958,14.006253946707275,1.4273789887978342e-44,4.02187694586924e-44
ABCC11,19135.54907858688,-0.821343825222386,0.07586718604122761,-10.826074724533118,2.5902237559548185e-27,5.550830144381643e-27
ABCC12,455.2875499460274,-1.9740396311353217,0.13736670568863013,-14.370582895173218,7.916216307712324e-47,2.3095016383968066e-46
ABCC13,992.8343977643734,-1.8336709785635896,0.1151524403351234,-15.923856873785155,4.3285218613937456e-57,1.4604455723323193e-56
ABCC1,216118.59538936266,0.32232309936775994,0.02838114123622166,11.356946385101402,6.84972132045226e-30,1.5319288825697184e-29
ABCC2,35613.26170038023,0.8570082328323757,0.06823591837459758,12.559488510546919,3.5260479594179146e-36,8.705826527972025e-36
ABCC3,193628.89440585568,-0.19759042753635792,0.04761860563182044,-4.1494374922293185,3.3329328196258316e-05,4.468206886570379e-05
ABCC4,136811.33718433077,-0.38903157654795945,0.046150426028137306,-8.429642151315614,3.4672385750402956e-17,6.189390358672054e-17
ABCC5,160144.48761063116,0.25318878288019725,0.032671374782237535,7.749560113945635,9.221141938409074e-15,1.569529821280434e-14
ABCC6P1,5507.697695880019,0.8967917028256756,0.07552305450494193,11.874409856754312,1.6076454987953146e-32,3.749576116374312e-32
ABCC6P2,5690.827774532491,0.10837229507171858,0.05020871635200064,2.158435884158993,0.030893958303184765,0.036316862437845335
ABCC6,43293.27327953435,0.9539810691674,0.05605528513345258,17.01857491039832,5.980863529168796e-65,2.2591413241581915e-64
ABCC8,13256.236215210225,-2.9086593745308935,0.09048418844197324,-32.145498839238556,1.0208687744586767e-226,2.421529288785896e-225
ABCC9,32197.849307563272,-0.3315655548636762,0.040554629887461044,-8.175775633602612,2.9396858101223657e-16,5.160742310671128e-16
ABCD1,69312.58824725173,0.3627547303488104,0.02700201688335108,13.434356845116927,3.8035855193776543e-41,1.0153537839765741e-40
ABCD2,3876.526078209074,-1.7113109837370346,0.048014331484918966,-35.64167053485995,3.171561690249575e-278,1.1344046312822382e-276
ABCD3,152320.66386621905,-0.1346258570587845,0.019448733406397224,-6.92208866488459,4.4503253975836255e-12,7.150313609506745e-12
ABCD4,64818.78602407512,-0.10571418728255581,0.014345991436278568,-7.3689007659116985,1.7204065747427847e-13,2.850119219305263e-13
ABCE1,154722.66164020888,0.22678684923355222,0.013553767207139984,16.732384861537483,7.612803058917659e-63,2.7886207317331207e-62
ABCF1,203316.54981390052,0.3107657371425663,0.01256005187030245,24.74239281426494,3.743609152914894e-135,3.4949510770699047e-134
ABCF2,147790.1908276335,0.18122991595375962,0.012109392412184354,14.966061862146594,1.2235525028390984e-50,3.762729002384607e-50
ABCF3,131308.8702899266,0.24685044381011834,0.012598024764615369,19.594376771147342,1.726870085197419e-85,8.736082519000217e-85
ABCG1,86155.04226548536,-0.32079592875189694,0.02517473227316701,-12.74277419402087,3.4201322659803158e-37,8.595521348139217e-37
ABCG2,28788.455587538992,-0.8651187197499729,0.04502876108641233,-19.212581001057725,2.9045996669557084e-82,1.4135440559991051e-81
ABCG4,1694.1676769034564,0.049632741798520015,0.05121120111018056,0.9691774596681594,0.33245665527824475,0.36001691221788
ABCG5,6999.954105344956,2.3811396900461843,0.07954486636560779,29.93454887587441,6.991796919415532e-197,1.2648626747017325e-195
ABCG8,9037.865124701739,2.596487344565046,0.1382494369310723,18.781178442409058,1.0766384555048599e-78,4.967523429252983e-78
ABHD10,78257.35304826546,-0.11551907286966145,0.015719582577366713,-7.348736666582197,2.0008893892177736e-13,3.311816920084591e-13
ABHD11,94650.9442198471,0.09894191254660832,0.025847933177122234,3.8278461905875276,0.00012926949219231354,0.00016991040461753845
ABHD12B,2018.0593098028723,0.3404210829429698,0.06933433409297574,4.9098485966054435,9.114673739701041e-07,1.279499516832636e-06
ABHD12,198732.2774118527,-0.06808498889090989,0.017455455527667692,-3.9004991180546433,9.599457585979785e-05,0.0001267883449866056
ABHD13,48306.73052524429,-0.058355816600066945,0.013511479902245112,-4.318980379815416,1.5675171527197466e-05,2.1246825902199322e-05
ABHD14A,41473.08486216032,-0.23163477729643897,0.0249063455403432,-9.300231417782182,1.4014033007469644e-20,2.6722908251477768e-20
ABHD14B,195636.38362579636,0.3257248635122739,0.0226148793486065,14.403121877912858,4.945803494718532e-47,1.4474689779193493e-46
ABHD15,39866.487368579576,0.004733920648263526,0.018693972413271313,0.2532324614378268,0.80008858321429,0.8204878991019465
ABHD1,2207.054079901305,-0.24844271424108008,0.04176740742991811,-5.948243607361656,2.7103501653663e-09,4.0742334415787684e-09
ABHD2,601272.0331114806,-0.2655627612524658,0.028326320477156185,-9.375123799316942,6.9094636361893e-21,1.3246175953628921e-20
ABHD3,62410.384290327565,0.07987387428595566,0.02397569548698932,3.3314518166657607,0.0008639425477672056,0.0010987289090894313
ABHD4,114146.67632820988,-0.13980606940018317,0.018690699436896226,-7.479980611330153,7.433357719164147e-14,1.2407421988061078e-13
ABHD5,64120.91804010471,0.017980056025967295,0.016751066075798075,1.0733678647441351,0.28310609688650723,0.3088761275776882
ABHD6,38806.3108857066,-0.1140065055372774,0.029606066904183548,-3.850781865292869,0.00011774133480363112,0.00015495807332666195
ABHD8,37389.05054260072,-0.10182515194804337,0.022842024695150644,-4.457798873217261,8.280553962771609e-06,1.1320335477284058e-05
ABI1,165793.15055531086,0.13319157881240132,0.013253132198839489,10.049818926884639,9.203637766882187e-24,1.8584426612916585e-23
ABI2,148572.9441481737,-0.7487312290690411,0.02176505936414761,-34.40060587670094,2.4694315192045868e-259,7.580372591078695e-258
ABI3BP,60844.83296191329,-1.4133994636418155,0.04516554996369,-31.293750763094693,5.675440964038221e-215,1.2069652507848053e-213
ABI3,28094.29107605766,-0.4231872239290856,0.025494658930973645,-16.599054142079634,7.079777366470217e-62,2.5633806967159196e-61
ABL1,242898.61610793765,-0.07397338043398441,0.015128733731193951,-4.889594975252861,1.0104366271189765e-06,1.4169645307741617e-06
ABL2,104163.79564953248,-0.15404949366736992,0.019720051040236893,-7.811820230741115,5.6367921088207155e-15,9.646009669445826e-15
ABLIM1,377002.2814564746,0.2456726125994412,0.02665662655214755,9.216192908687802,3.078360876171675e-20,5.829065924064563e-20
ABLIM2,21023.16320230221,0.4734776848772144,0.03715333138791155,12.743882370431747,3.371883353736936e-37,8.477402101946153e-37
ABLIM3,76701.27207036554,-0.49765192445061596,0.04059578419177397,-12.258709478297417,1.508836642176534e-34,3.6271962368978056e-34
ABO,11171.64960563913,0.1605294383273848,0.0596232652057779,2.69239595941868,0.007094066562948011,0.008645933450453195
ABP1,142306.6470047515,-0.762610931857045,0.07393596310022935,-10.314478906878259,6.060919613081606e-25,1.2482476823055742e-24
ABRA,281.8423275076778,0.8787197531850706,0.08439421507228413,10.412085146267929,2.183850862446324e-25,4.5218977263717155e-25
ABR,289879.6752857591,-0.014828236081338486,0.025543784060129977,-0.5805027182516448,0.5615756542070357,0.589832673500624
ABT1,72778.03347483082,0.3404996422473649,0.012826319507442731,26.546948409462516,2.785240895677846e-155,3.332464591936245e-154
ABTB1,58834.674701256576,0.00823266963935683,0.01819135772101271,0.4525593837257859,0.6508660512255485,0.6772893892290808
ABTB2,36843.919358775354,0.27588676684672264,0.030145790600680348,9.151750919430066,5.601812506436986e-20,1.0549466839178822e-19
ACAA1,183541.0842710172,0.6215797183398107,0.02617810126099909,23.744262891436616,1.2594097994711784e-124,1.0351982325863257e-123
ACAA2,218707.6639630764,0.5464363470718828,0.03594933322166365,15.20018031217868,3.5264903497053535e-52,1.1091196352527177e-51
ACACA,206114.54278124945,-0.035050644209877885,0.02256514118072968,-1.5533093247300684,0.12034925361797867,0.1357430730233375
ACACB,75887.76094719599,0.03628671735744607,0.03663927266654126,0.9903776662734589,0.3219895575448163,0.3492395797885366
ACAD10,65497.75874211704,0.13689397335800987,0.01670703415016584,8.193792634143326,2.531210020124583e-16,4.449402861424729e-16
ACAD11,80721.24432665385,-0.5207096373387184,0.035496783888338664,-14.669206060377233,1.0152603277860859e-48,3.036381806186983e-48
ACAD8,70592.9287715539,-0.38045887137196777,0.023518405038163447,-16.177069437939988,7.319640323841756e-59,2.539105503167333e-58
ACAD9,101283.49016654967,0.28953917665444606,0.01095108463860907,26.439315027631938,4.8420870524744526e-154,5.699604146440721e-153
ACADL,17695.737057470637,-0.554790212179608,0.07804866958807978,-7.108259693696815,1.1751528801389461e-12,1.914102554348766e-12
ACADM,120369.99628648568,0.2034176019226757,0.02244843698151719,9.06154856528134,1.2861148246760445e-19,2.4060124011220567e-19
ACADSB,147130.940014588,0.4569394202416261,0.036383049076658756,12.559129370352082,3.542088348430503e-36,8.744369488992916e-36
ACADS,81915.35699354061,0.6277054729831464,0.030882598271312463,20.325539563367503,7.644402233918034e-92,4.203698304909479e-91
ACADVL,565730.6769482379,0.17391224669663657,0.01982373398067865,8.772930814454101,1.740750004716295e-18,3.186521325416984e-18
ACAN,19308.424720235766,-0.8955105641685317,0.05051759429722241,-17.72670644013167,2.6087594913220644e-70,1.0697858788512322e-69
ACAP1,22720.67930281306,-0.35124506654353904,0.041382243893973256,-8.487820705022063,2.105480724838153e-17,3.775063317056303e-17
ACAP2,140957.40765285108,0.06488985225315141,0.019071930769477132,3.4023745701196466,0.0006680301148367814,0.0008532539787346663
