cell_type,label
adipose stem cell,hMSC
amniotic fluid cell,hUSC
angioblastic mesenchymal cell,hMSC
anterior foregut cell,hUSC
cardiac progenitor cell,hMSC
class switched memory B cell,hUSC
common lymphoid progenitor,hOPSC
common myeloid progenitor,hOPSC
dendritic cell precursor,hUSC
dental pulp stem cell,hMSC
Differentiated embryonic stem cells,hESC
early promyelocyte,hUSC
embryoid body,hESC
embryonic stem cell differentiated derivative,hUSC
embryonic stem cell transitioning to endodermal cell,hMSC
embryonic stem cell transitioning to hepatocyte,hUSC
embryonic stem cell transitioning to intermediate mesodermal cell,hMSC
embryonic stem cell transitioning to melanoblast progenitor cell,hMSC
embryonic stem cell transitioning to metanephric mesenchymal cell,hMSC
embryonic stem cell transitioning to mesodermal cell,hUSC
embryonic stem cell transitioning to neural crest cell,hMSC
embryonic stem cell transitioning to neuron,hUSC
embryonic stem cell,hESC
Embryonic stem cells,hESC
endodermal progenitor cell,hMSC
endothelial progenitor cell,hUSC
erythropoietic cell,hUSC
ESC-Beta cells,hUSC
ESC-Cardiomyocyte,hUSC
fibroblast,hUSC
fibroblast transitioning to Schwann cell,hUSC
granulocyte-macrophage progenitor cell,hOPSC
granulocyte-monocyte progenitor cell,hOPSC
granulocytopoietic cell,hOPSC
Haematopoietic progenitor cells,hMSC
hemangioblast,hMSC
hematopoietic cell,hMSC
hematopoietic precursor cell,hMSC
Hematopoietic stem cells,hMSC
Induced pluripotent stem cells,iPSC
iPSC-Neurons,hESC
iPSCs-Neural stem cells,hMSC
late promyelocyte,hUSC
luminal progenitor cell,hOPSC
mammary stem cell,hOPSC
megakaryocyte,hUSC
megakaryocyte-erythroid progenitor cell,hOPSC
melanoblast progenitor cell,hMSC
melanocyte progenitor cell,hOPSC
Mesenchymal stem cells,hESC
mesenchymal stromal cell,hMSC
mesenchymal stromal cell transitioning to induced pluripotent stem cell,hMSC
mesenchymalcell,hMSC
mesodermal cell,hMSC
mesoendodermal cell,hMSC
metamyelocyte,hUSC
MSC differentiation intermediate,hMSC
multipotent adult progenitor cell,hMSC
myelocyte,hUSC
myoblast,hUSC
myofibroblast,hUSC
natural killer cell progenitor cell,hOPSC
neural crest cell,hMSC
neural progenitor cell,hOPSC
neural stem cell,hMSC
Neural stem cells,hESC
neurectodermal cell,hMSC
neuroectodermal progenitor cell,hMSC
neuroepithelial cell,hOPSC
neurosphere,hMSC
oocyte,hUSC
osteoblast,hUSC
osteogenic differentiation intermediate,hMSC
Pancreatic islets,hESC
parenchymal lung tissue stromal cell,hUSC
pericyte cell,hUSC
plasmablast,hUSC
pluripotent stem cell,iPSC
posterior foregut cell,hUSC
pre-adipocyte,hUSC
pre-chondrocyte,hUSC
pro-B cell,hUSC
proerythroblast,hUSC
Skin-derived precursors cells,hUSC
Spinal Cord,hMSC
Stem cells memory T cells,hMSC
stromal cell,hUSC
tendon cell,hUSC
trophoblast cell,hUSC
trophoblast progenitor cell,hMSC
umbilical cord blood cell,hUSC
