Core_Human,PrC_Human,Myc_Human,Borac_TF,Borac_ES2,Merged
AGTRAP,AATF,AAAS,ZFP36L1,CDC25A,AAAS
ANP32A,ADAMTS1,AASDHPPT,KLF5,CYP26A1,AASDHPPT
ASXL1,ADAMTS19,ABCB8,ETV1,DNMT3A,ABCB8
C1orf103,ADAMTS5,ABCE1,ETV4,DTYMK,ABCE1
CAMK2N1,ADCY8,ADH5,FOXO1A,EPHA1,ADH5
CASQ2,ADM,ADHFE1,HHEX,ETV4,ADHFE1
CBX1,ADRA1A,ADPGK,HMGB3,GPR19,ADPGK
CBX7,ADRA1D,ADSL,IFI16,GPR23,ADSL
CD38,ADRA2B,AGPAT5,ILF3,HELLS,AGPAT5
CHD9,ADRB1,AHI1,JARID2,MYBL2,AHI1
COBL,ALDH1A2,AKT1S1,MYBL2,ORC1L,AKT1S1
CRMP1,ALOXE3,ALAD,NFYB,ORC2L,ALAD
DLL1,ALX3,AMD1,NPM1,POU5F1,AMD1
DST,ALX4,AMH,POU5F1,PWP2,AMH
DYRK3,APPBP1,ANAPC10,REST,RBM4,ANAPC10
EVX1,AR,ANKRD10,SALL2,TDGF1,ANKRD10
FBXO15,ARG2,ANP32B,SALL1,ZIC3,ANP32B
FN1,ARHGAP20,ARFRP1,SOX2,HESX1,ARFRP1
GJA1,ASB3,ARMC8,STAT3,SLC5A6,ARMC8
GJB3,ASCL1,ARMET,TAF12,CLDN6,ARMET
GPA33,ATF3,ARV1,TAL1,RRP9,ARV1
GPR1,ATOH1,ATAD2,TCF20,GDF3,ATAD2
HOXB13,ATOH8,ATAD3A,TEAD4,GJA7,ATAD3A
IFITM2,AVPR1A,ATF4,TFAM,CHEK2,ATF4
IFITM2,BACH2,ATF7,TLE3,WSCD1,ATF7
IL6ST,BAPX1,ATIC,ZIC1,NCAPH,ATIC
ITGA9,BARX1,ATP5C1,ZIC2,PRKD3,ATP5C1
JAM2,BARX2,ATP5E,ZIC3,GOLGA7,ATP5E
KIFC3,BCAN,ATP5G2,ZNF195,L1TD1,ATP5G2
KLF2,BCL11A,ATP6V1F,DEK,ERCC6L,ATP6V1F
KLF9,BHLHB3,ATPIF1,MYST3,C14orf115,ATPIF1
LEFTY2,BHLHB4,AURKB,MLLT10,MCM10,AURKB
LRRC2,BHLHB5,B3GNT7,EOMES,CXorf15,B3GNT7
MAP4K4,BMP4,BCLAF1,UTF1,PRDM14,BCLAF1
MLLT6,BMP6,BIRC2,HESX1,ISG20L1,BIRC2
MSH6,BMP7,BIVM,FUBP1,DBNDD1,BIVM
MYBL2,BUB3,BLM,MSC,DCC1,BLM
MYCN,CALN1,BRD8,CRSP2,LIN28,BRD8
NANOG,CART1,BRE,NFE2L3,ABHD9,BRE
NFKBIA,CAV1,BXDC2,ZFHX1B,NANOG,BXDC2
NODAL,CBLN2,CACYBP,G3BP2,,CACYBP
PHC1,CBX4,CANX,MED12,,CANX
PIPOX,CBX8,CBX3,HMGA1,,CBX3
PLSCR1,CCBE1,CBX5,CEBPZ,,CBX5
POU5F1,CCND2,CCND1,ZNF267,,CCND1
PPP1R15B,CCR9,CCNI,HMG20A,,CCNI
RARG,CD14,CCT3,POLR3G,,CCT3
RBBP5,CDH11,CCT4,MYST2,,CCT4
RBM14,CDH13,CCT7,PSIP1,,CCT7
REST,CDH2,CCT8,WDHD1,,CCT8
RHOF,CDH22,CDK4,MTF2,,CDK4
RPS19,CDH4,CDT1,PHF8,,CDT1
SFRP1,CDH8,CETN3,COMMD3,,CETN3
SLC20A1,CDK5R2,CFL1,FOXD3,,CFL1
SOCS2,CDKN1C,CHCHD1,ZNF589,,CHCHD1
SOCS3,CDKN2C,CIRH1A,SALL4,,CIRH1A
SOX13,CDX2,CLNS1A,MRS2L,,CLNS1A
SOX2,CEBPA,CLPP,ARID1B,,CLPP
SPRY2,CHRM4,CNIH4,MTA3,,CNIH4
SULF2,CHST2,CNOT4,ZNF398,,CNOT4
TBC1D13,CHST8,COG4,PRDM14,,COG4
TBL1XR1,CHX10,COX5A,TBL1XR1,,COX5A
TCEA3,CLSTN1,COX8A,LIN28,,COX8A
TCF3,CNIH3,CRAT,NANOG,,CRAT
TDGF1,CNR1,CSDE1,PHF17,,CSDE1
TMEM8,CNTFR,CSNK2A1,TCF7L1,,CSNK2A1
TPD52,CNTNAP1,CSTF1,ZNF206,,CSTF1
TRIB3,COL12A1,DARS,IRX2,,DARS
TRIM25,COL19A1,DBR1,CDC25A,,DBR1
UCK2,COL27A1,DBT,CYP26A1,,DBT
UPP1,COL2A1,DDB1,DNMT3A,,DDB1
ZFP36L1,COL4A1,DDX17,DTYMK,,DDX17
ZFP42,COL4A2,DDX31,EPHA1,,DDX31
ZIC2,COLEC12,DDX5,ETV4,,DDX5
ZIC5,COMP,DDX54,GPR19,,DDX54
,CORIN,DERL2,GPR23,,DERL2
,CPEB2,DHX9,HELLS,,DHX9
,CPNE7,DLST,MYBL2,,DLST
,CRABP1,DNAJB4,ORC1L,,DNAJB4
,CREB1,DNAJC8,ORC2L,,DNAJC8
,CRHR1,DPH3,POU5F1,,DPH3
,CXCL12,DTL,PWP2,,DTL
,CXCR4,EBNA1BP2,RBM4,,EBNA1BP2
,CXXC4,EEF1A1,TDGF1,,EEF1A1
,CYP1B1,EEF1B2,ZIC3,,EEF1B2
,CYP24A1,EEF2,HESX1,,EEF2
,CYP26A1,EIF2S2,SLC5A6,,EIF2S2
,CYP27B1,EIF3S10,CLDN6,,EIF3S10
,DACH1,EIF3S9,RRP9,,EIF3S9
