Hugo	Patient-01	Patient-02
A1BG	289.0	476.0
A1CF	1.0	3.0
A2BP1	71.0	3.0
A2LD1	165.43	243.35
A2ML1	3665.0	615.0
A2M	13241.82	4067.93
A4GALT	1860.0	1861.0
A4GNT	3.0	1.0
AAA1	0.0	1.0
AAAS	1728.0	1491.0
AACSL	5.0	6.0
AACS	2299.0	1507.0
AADACL2	14.0	1.0
AADACL3	0.0	2.0
AADACL4	0.0	0.0
AADAC	10.0	288.0
AADAT	89.0	561.0
AAGAB	2111.0	11095.0
AAK1	1712.0	1068.0
AAMP	4824.0	5565.0
AANAT	3.0	0.0
AARS2	873.98	502.93
AARSD1	1617.0	1193.0
AARS	6006.0	5124.0
AASDHPPT	842.0	2777.93
AASDH	347.0	1380.0
AASS	239.0	209.0
AATF	2813.0	1843.0
AATK	93.0	74.0
ABAT	152.0	876.0
ABCA10	23.0	176.0
ABCA11P	90.11	644.08
ABCA12	690.0	688.0
ABCA13	33.0	1383.0
ABCA17P	10.0	9.0
ABCA1	1014.0	3174.0
ABCA2	1425.0	201.0
ABCA3	190.0	228.0
ABCA4	787.0	94.0
ABCA5	436.0	578.0
ABCA6	91.0	136.0
ABCA7	1657.0	169.0
ABCA8	110.0	69.0
ABCA9	40.0	20.0
ABCB10	484.0	1790.0
ABCB11	0.0	1.0
ABCB1	42.0	12.0
ABCB4	33.0	28.0
ABCB5	0.0	0.0
ABCB6	1776.91	2081.78
ABCB7	472.0	1871.0
ABCB8	2176.0	1559.0
ABCB9	401.52	439.25
ABCC10	1501.0	608.0
ABCC11	3.0	3.0
ABCC12	0.0	0.0
ABCC13	1.0	12.0
ABCC1	2199.0	1258.0
ABCC2	8.0	218.0
ABCC3	712.0	580.0
ABCC4	245.0	1074.0
ABCC5	1529.0	1665.0
ABCC6P1	7.0	1.0
ABCC6P2	14.0	84.0
ABCC6	31.0	32.0
ABCC8	5.0	0.0
ABCC9	157.0	307.0
ABCD1	762.0	480.0
ABCD2	7.0	9.0
ABCD3	978.0	5298.0
ABCD4	1844.0	867.0
ABCE1	2059.0	14245.0
ABCF1	4499.0	2363.0
ABCF2	3073.0	4070.0
ABCF3	2513.0	1441.0
ABCG1	1191.0	515.0
ABCG2	24.0	93.0
ABCG4	13.0	15.0
ABCG5	0.0	8.0
ABCG8	0.0	1.0
ABHD10	669.0	4141.0
ABHD11	918.0	643.0
ABHD12B	4.0	8.0
ABHD12	2874.0	1759.0
ABHD13	683.0	2026.0
ABHD14A	343.0	535.43
ABHD14B	994.0	1899.0
ABHD15	550.0	441.0
ABHD1	5.0	3.0
ABHD2	2888.0	2358.0
ABHD3	825.0	2761.0
ABHD4	1523.0	870.0
ABHD5	528.0	3318.0
ABHD6	184.0	508.0
ABHD8	395.0	751.0
ABI1	2142.6	11494.63
ABI2	1339.0	1986.0
ABI3BP	252.0	334.0
ABI3	751.0	248.0
ABL1	3218.0	1816.0
ABL2	1050.0	1459.0
ABLIM1	3317.0	4300.0
ABLIM2	1526.0	158.0
ABLIM3	1247.0	152.0
ABO	166.0	149.0
ABP1	413.0	212.0
ABRA	7.0	1.0
ABR	3739.0	2291.0
ABT1	914.0	7413.0
ABTB1	1522.0	814.0
ABTB2	305.0	466.0
ACAA1	1497.0	1391.0
ACAA2	939.0	6248.0
ACACA	2026.0	1679.0
ACACB	546.0	69.0
ACAD10	687.0	422.0
ACAD11	492.0	820.0
ACAD8	641.0	618.0
ACAD9	2077.99	2156.0
ACADL	6.0	10.0
ACADM	990.0	4661.0
ACADSB	174.0	1030.0
ACADS	977.0	1585.0
ACADVL	15991.0	9080.0
