,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CEBPZ,594.27045,-1.0839061101929457,0.019373016508671764,-55.949268907491344,0.0,0.0
NMBR,326.57758,4.329424145157817,0.07229763865733382,59.88334094392505,0.0,0.0
ASTN2,418.76962,0.4547990890310432,0.04145277016978735,10.971500509331975,5.239556672796931e-28,6.390066558533897e-28
PPP4R2,470.18484,-0.07707880567779332,0.026008139736214932,-2.963641631410694,0.0030402211948326683,0.0032108687655913707
ARTN,338.67712,2.2588836019859033,0.04116406789120266,54.875130610419056,0.0,0.0
OR10Z1,169.28561,3.5711391980595524,0.16981731022612906,21.029300212706328,3.5383082337523034e-98,5.338072275565263e-98
TGDS,391.1976,1.0202584213043941,0.0189824980160666,53.74732137155276,0.0,0.0
MNX1,315.09314,2.674213394615792,0.053873644373172026,49.638620622953354,0.0,0.0
DHX35,439.88165,0.05776038216631979,0.023597928546161277,2.4476886627286527,0.014377583155400038,0.015037992914147202
CLCNKB,263.31082,1.9138945227295143,0.07228394614800407,26.47744934692337,1.7628577901892782e-154,2.997249492672798e-154
RABGAP1,542.9527,-0.7064119426418483,0.02156964971152543,-32.75027420887542,3.0090777005830323e-235,5.986339888472087e-235
USP1,514.69604,-0.5775745210848353,0.020915946231407898,-27.614075628934984,7.540474275258992e-168,1.3171268176246367e-167
ARL3,467.9956,-0.09256471210378465,0.025105347078784156,-3.6870516792021792,0.000226867297226437,0.0002429022424631663
TMEM208,422.13147,0.19986022837803954,0.014614627098984614,13.675355999464765,1.4250812437118143e-42,1.8330530509485737e-42
ZNF441,373.9572,2.511477597026909,0.0314788195263587,79.78309335659586,0.0,0.0
PSMD11,579.2403,-1.1349704289806821,0.02234518032296624,-50.792627876632814,0.0,0.0
PPP2R5D,469.35248,-0.30689355852359157,0.015104995716168848,-20.317354886442192,9.031323820698507e-92,1.3437978354188608e-91
MTHFD2,740.63055,-1.835830716121581,0.025443894362596923,-72.15211201396482,0.0,0.0
PACSIN2,487.02203,-0.47952681506028094,0.018697129482908238,-25.647082109509633,4.557127140051484e-145,7.596392380642239e-145
RIMS1,386.76483,2.0253191751331903,0.060879082041855326,33.26789937043977,1.1249543195059182e-242,2.2725814798834004e-242
