,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,gsea,Cholesterol Biosynthetic Process (GO:0006695),-0.8316840545822762,-2.1811047351955857,0.0,0.016122803556796458,0.038,19/22,12.84%,HSD17B7;DHCR24;NSDHL;LBR;DHCR7;INSIG1;CYP51A1;HMGCS1;G6PD;CES1;MVK;FDFT1;HMGCR;NPC1L1;PMVK;ARV1;LSS;MVD;GLB1
1,gsea,Secondary Alcohol Biosynthetic Process (GO:1902653),-0.8316840545822762,-2.1811047351955857,0.0,0.016122803556796458,0.038,19/22,12.84%,HSD17B7;DHCR24;NSDHL;LBR;DHCR7;INSIG1;CYP51A1;HMGCS1;G6PD;CES1;MVK;FDFT1;HMGCR;NPC1L1;PMVK;ARV1;LSS;MVD;GLB1
2,gsea,Sterol Biosynthetic Process (GO:0016126),-0.7871242796202713,-2.138770781587212,0.0,0.022537252283693972,0.071,20/25,12.84%,HSD17B7;DHCR24;SQLE;NSDHL;LBR;DHCR7;INSIG1;CYP51A1;HMGCS1;G6PD;CES1;MVK;FDFT1;HMGCR;NPC1L1;PMVK;ARV1;LSS;MVD;GLB1
3,gsea,Regulation Of Potassium Ion Transmembrane Transport (GO:1901379),0.649832601925066,2.0695956976459278,0.0,0.40219160655168923,0.15,17/32,19.21%,DPP6;KCNIP3;KCNAB1;BIN1;KCNIP4;KCNIP1;KCNAB3;YWHAE;CAV1;DPP10;KCNN2;CAB39;KCNAB2;AMIGO1;FHL1;KCNIP2;WWP2
4,gsea,Regulation Of Postsynapse Organization (GO:0099175),0.7051620183142626,2.0489589516371516,0.0,0.287071545256097,0.189,14/23,18.56%,ZDHHC15;SHANK3;ARHGAP22;EPHA4;CDK5R1;HOMER1;KIF1A;TANC1;ABI3;SIPA1L1;PPFIA2;LRRK2;IL1RAPL1;CDKL5
5,gsea,Regulation Of Filopodium Assembly (GO:0051489),0.6361519162460276,2.0321335554305904,0.0,0.26035591921703555,0.235,16/34,17.26%,PALM;DAAM2;CLU;GPM6A;PPP1R16B;AGRN;FSCN1;NLGN1;ARAP1;DOCK11;GAP43;DPYSL3;MYO10;FXR2;PIK3R1;RAB5A
6,gsea,"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)",0.7758870278310182,2.019737082644168,0.0019880715705765406,0.22659708267676698,0.256,13/22,11.15%,SHANK3;CACNG7;NLGN2;PTK2B;NLGN3;NLGN1;GRIN2C;NRXN1;CACNG3;TSHZ3;CACNG8;GRIN1;GRIN2A
7,gsea,Positive Regulation Of Neuron Projection Development (GO:0010976),0.5638777395685555,2.0182663217792074,0.0,0.18535787084556113,0.261,42/81,22.63%,ZDHHC15;ATP1B2;RAPGEF2;SCARF1;FUT9;DAB2IP;NTRK2;SETX;CAMK2B;NDRG4;PTK2B;NTRK3;PRKD1;RAPGEF1;LRRC7;DBN1;KIDINS220;NLGN1;BMP7;TUBB2B;DPYSL3;CX3CL1;MAGI2;SCN1B;SNX3;FZD1;PTN;DDR1;PACSIN1;PLXNB3;VLDLR;TOX;STMN2;PLXNB2;RIT2;S100A9;CAPRIN2;DDR2;ITGA6;GPC2;ZNF804A;EP300
8,gsea,Regulation Of Axonogenesis (GO:0050770),0.6674302112769365,2.017855260218565,0.0,0.15495063102655662,0.261,24/40,17.09%,RUFY3;TIAM1;EPHA4;NTRK2;TIAM2;MAP6;EFNB3;PLXNA4;BRSK1;CDH2;PLXNB1;CHN1;LRRC4C;LRP4;SLITRK1;PLXNA2;SIPA1L1;BRSK2;METRN;GDI1;MCF2;PLXNB3;PLXNB2;PTEN
9,gsea,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),0.608585777997034,2.005637914843439,0.0,0.15717115059343964,0.297,38/73,16.72%,MEF2C;APBB1;LLGL1;MAP2;MAP1A;NRCAM;MAP6;MEF2A;CTNNA2;SLITRK2;MINK1;DVL1;BRSK1;RB1;ZDHHC17;KLF7;SLITRK3;APP;SLITRK5;DSCAML1;APLP1;OPHN1;APLP2;MAP1S;SPTBN4;CELSR2;LRP4;SLITRK1;MAP1B;ANK3;RAB3A;S100B;BRSK2;ATL1;TAOK2;DOCK7;CNTN4;NTNG2
