,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,gsea,Pyruvate Metabolic Process (GO:0006090),0.6754128868135865,2.2730775132416423,0.0,0.004413138690947237,0.005,23/47,10.30%,ALDOC;ENO1;PGAM1;PKLR;TPI1;PCK2;KRT17;ALDOB;PCK1;LDHB;GPI;VDAC1;PFKM;PDHA1;ENO2;SDS;DLD;PGK1;GAPDH;PGM1;PFKL;LDHA;PGAM4
1,gsea,L-amino Acid Transport (GO:0015807),0.7177886071540908,2.1325345643189118,0.0,0.048544525600419615,0.061,16/26,14.70%,SLC1A3;SLC38A3;SFXN1;SLC3A2;SLC7A5;SLC22A2;SLC32A1;SLC47A1;SLC1A4;SLC6A9;SLC7A9;SLC36A2;SLC38A2;SLC6A17;SLC7A1;SLC7A11
2,gsea,Amino Acid Import Across Plasma Membrane (GO:0089718),0.6556020553033884,2.0857291326614757,0.0,0.06502024337995597,0.118,15/27,14.22%,SLC1A3;SLC1A2;SLC38A3;SLC3A2;SLC38A4;SLC7A5;SLC22A2;SLC47A1;SLC1A4;SLC6A13;SLC6A9;SLC38A2;SLC6A2;SLC1A6;SLC7A1
3,gsea,Glycolytic Process (GO:0006096),0.7097856772228586,2.07887754382442,0.0,0.05560554750593519,0.13,20/27,20.57%,ALDOC;ENO1;PGAM1;PKLR;TPI1;ALDOB;GPI;PFKM;ENO2;PGK1;GAPDH;PGM1;PFKL;LDHA;PGAM4;PFKFB1;GCK;ENO3;PGAM2;HK3
4,gsea,Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031665),-0.7904014157773454,-1.9922641166469957,0.0,1.0,0.397,3/10,6.61%,TRIB1;CARD8;SIGIRR
5,gsea,Regulation Of RNA Polymerase II Regulatory Region Sequence-Specific DNA Binding (GO:1903025),-0.8685660890878517,-1.9880812300973394,0.0,0.7160590223580754,0.41,3/7,8.23%,NSD1;TAF1;EP300
6,gsea,Hormone Transport (GO:0009914),0.8732578831361792,1.9854854980840404,0.00390625,0.19258937247293745,0.39,5/8,2.51%,SLC3A2;SLCO1C1;SLC22A9;SERPINA7;SLC7A5
7,gsea,Linoleic Acid Metabolic Process (GO:0043651),0.6820735906555899,1.9851241130767356,0.0,0.1616679807117005,0.392,11/19,16.40%,GSTA1;CYP4A11;FADS1;CYP2J2;CYP4A22;ALOX12;ALOXE3;PNPLA8;ALOX12B;GSTP1;GSTM2
8,gsea,Dicarboxylic Acid Catabolic Process (GO:0043649),0.7710487649598274,1.9827826584377006,0.0,0.1426074245560379,0.4,9/16,9.32%,GOT1;ALDH1L1;GAD1;GLUD1;GLUD2;ASPA;GOT2;DDO;QPRT
9,gsea,Monocarboxylic Acid Transport (GO:0015718),0.5424537713603693,1.9816576466866056,0.001953125,0.12632609502836467,0.404,35/70,16.70%,SLCO1A2;SLC6A8;PMP2;SLC16A1;SLCO1C1;SLCO1B1;FABP1;FABP5;SLC10A1;UGT1A6;SLC27A5;ABCB4;SLC6A11;SLCO2B1;SLC5A12;AKR1C4;SLC16A12;SLC6A12;SLC10A6;GOT2;ABCG2;SLC6A13;MFSD2A;SLC22A13;ABCC2;SLC16A13;SLC16A9;SLCO1B3;SLC10A2;ACSL1;AKR1C1;FABP7;FABP6;SLC5A6;SLC10A4
