,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,gsea,Central Nervous System Neuron Differentiation (GO:0021953),0.7849677797075442,2.1948221249667976,0.0,0.0507921460235724,0.027,12/26,5.02%,NOVA2;MAP2;FAIM2;MAPT;CEND1;NTRK2;OPHN1;GRID2;KNDC1;ZC4H2;MDGA2;TOX
1,gsea,Anterograde Trans-Synaptic Signaling (GO:0098916),0.5912361042465459,2.1343496870997747,0.0,0.08167926184871777,0.075,104/198,26.40%,NLGN1;SLC1A3;DTNA;NRXN2;APBA2;NLGN3;NLGN2;GRIK4;KCNQ2;SLC12A4;NRXN1;SLC1A2;DLG4;PAFAH1B1;GRIA1;PCDHB10;NLGN4X;PCDHB9;GRIK2;MAPK1;SLC6A1;KCNN1;GRIA2;APBA1;PLP1;GRM3;GABRB1;CACNB4;DLGAP1;DLG2;KCND2;BSN;CNP;KCNMB4;KIF5A;GAD1;GABRD;GABBR2;SYN1;GABRB3;HRH3;SNCB;SCN2B;GLRB;SNAP25;PDE7B;HTR2A;GRIN1;CHRNB2;GABARAP;NLGN4Y;SYN2;HTR1A;CACNA1A;SLC12A5;AMPH;RIT2;CORT;HTR5A;GRIN2A;CPLX1;UNC13C;DOC2A;PCDHB16;CACNB2;CACNA1E;CHRNA4;PCDHB4;KCNK3;GRM2;KCNIP2;CHRM4;KCNA1;HRH2;SYT5;GPR176;RPS6KA2;SYT1;CACNB1;PCDHB5;PCDHB6;EXOC4;KCNQ3;GAD2;GRIK1;SNCA;PTCHD1;PMP22;PCDHB14;GRM7;PDYN;SLC1A1;CHRNB1;KCNC4;NPTX1;PCDHB3;HCRTR1;CACNA1B;CDK5;NPFF;GRIN2B;HTR6;CHRM5;SLC12A6
2,gsea,Synapse Organization (GO:0050808),0.6038867637722158,2.1170665070015273,0.0,0.07458666488146216,0.098,63/127,19.58%,NLGN1;CTNND2;GPM6A;LRRC4B;NRXN2;DNER;NRCAM;DNM3;NLGN3;RAB39B;MAPT;NLGN2;SLITRK2;NRXN1;CX3CR1;DSCAM;LRRC4C;SLITRK3;PCDHB10;NLGN4X;PCDHB9;CDH2;PTPRD;SLC6A1;SLC8A3;CACNB4;UNC13A;SLITRK1;ZC4H2;GRM5;SPOCK2;CX3CL1;SNCB;CNTN2;PPFIA4;KIRREL3;PPFIA2;SLC8A2;APP;SHANK3;PTPRS;UNC13C;PCDHB16;CACNB2;C1QC;LRFN5;LRP4;PCDHB4;C1QB;C1QA;LRRC4;PAK3;DCTN1;PIN1;LRRK2;GPHN;CACNB1;PCDHB5;PCDHB6;APBB2;ANK3;SNCA;PCDHB14
3,gsea,Metal Ion Transport (GO:0030001),0.5291549502216664,2.101873817550276,0.0,0.07241312710117416,0.122,90/166,30.16%,CACNG7;FYN;KCNJ10;TRPC1;ATP1A2;SCN4B;CALCRL;SCN1A;KCNA6;SLC23A2;KCNK4;KCNN1;SCN3B;NDFIP1;KCNA2;SCN3A;KCNC1;KCNMB4;AQP1;SLC4A4;KCNAB3;ATP2B2;SCN2A;PKD2;SLC17A7;SLC41A1;CHRNB2;CLU;CACNG8;KCNJ4;CACNG3;CAMK2A;NIPA1;CHRNA4;SLC17A3;KCNF1;KCNK3;PKD1;CCR1;KCNN2;TRPC3;LRP2;KCNS2;KCNIP2;KCNA1;CCL3;KCNV1;SCN8A;KCNH1;KCNH3;RAMP2;CCR5;FGF13;SLC11A1;TRPC4;SLC5A12;KCNH4;RYR3;KCNJ5;KCNA4;RAMP3;RAMP1;KCNMA1;CACNA2D1;KCNK9;KCNJ16;KCND3;KCNC4;SCN11A;KCNMB2;KCNA5;KCNAB1;SGK1;KCNA3;KCNK18;MMGT1;CATSPER3;SLC5A8;GRIN3A;SCNN1D;SCN7A;SLC17A4;KCNJ15;NIPAL3;KCNJ8;KCNG2;ITPR1;KCNJ2;NMUR1;RYR2
4,gsea,Chemical Synaptic Transmission (GO:0007268),0.5898353987250029,2.1009467306256333,0.0,0.05957781452494708,0.126,142/268,26.00%,NLGN1;SLC1A3;DTNA;NRXN2;GRIA3;APBA2;NLGN3;GRIA4;FCHSD2;NLGN2;KIF1B;GRIK4;GABBR1;KCNQ2;SLC12A4;NRXN1;SLC1A2;DLG4;PAFAH1B1;GRIK5;BRSK1;GRIA1;PCDHB10;RIC3;GRID2;NLGN4X;PCDHB9;GRIK3;GRIK2;MAPK1;SLC6A1;GABRG1;KCNN1;GRIA2;APBA1;PLP1;GRM3;GABRB1;CACNB4;ERC2;UNC13A;DLGAP1;DLG2;KCND2;GRID1;BSN;CNP;KCNMB4;KIF5A;GAD1;GABRD;GABBR2;SYN1;GABRB3;HRH3;SNCB;SCN2B;SLC32A1;GLRB;SNAP25;PDE7B;GABRG2;HTR2A;SLC17A7;GRIN1;CHRNB2;GABARAP;NLGN4Y;SYN2;STXBP1;HTR1A;CACNA1A;SLC12A5;AMPH;RIT2;CORT;HTR5A;GRIN2A;CPLX1;DLGAP2;GABRA4;UNC13C;DOC2A;PCDHB16;CACNB2;CACNA1E;CHRNA4;PCDHB4;GABRA3;SYN3;KCNK3;GRM2;SNPH;CDH8;KCNIP2;CHRM4;HAPLN4;KCNA1;HRH2;GABRA5;SYT5;GPR176;GABRA2;RPS6KA2;SLC6A9;GABRA1;SYT1;CACNB1;PTPRN2;STXBP3;PCDHB5;PCDHB6;GRIN2C;EXOC4;KCNQ3;SHISA6;GAD2;GRIK1;SNCA;PTCHD1;PMP22;PCDHB14;LIN7B;GRM7;SLC1A4;PDYN;SLC1A1;CHRNB1;RIMBP2;LIN7A;KCNC4;NPTX1;PCDHB3;APOE;HCRTR1;CACNA1B;CDK5;GRIN3A;NPFF;GRIN2B;HTR6;CHRM5
5,gsea,Response To Axon Injury (GO:0048678),0.7275736220371746,2.0869260783086676,0.0,0.0636045792547438,0.154,7/17,5.47%,P2RY12;MORN4;SARM1;DPYSL3;GAP43;TREM2;MAPK8IP3
6,gsea,Nervous System Development (GO:0007399),0.5113973443531589,2.0850719305336325,0.0,0.05687151485264863,0.16,198/402,27.65%,POU3F3;NLGN1;GPM6B;TMOD2;FEZ1;GPM6A;APC2;LSAMP;ZEB2;NRXN2;DNER;NRCAM;APC;APBA2;CRMP1;SH3GL2;FEZ2;FGF2;DNM3;NLGN3;NLGN2;DSCAML1;ARNT2;POU3F2;KCNQ2;NRXN1;CYP46A1;DPYSL4;ADAM22;CSPG5;SOX8;PAX6;CLN8;SEMA6A;DSCAM;DLG4;MEF2C;PTPRZ1;SCRG1;EPHB1;STMN3;APLP1;NRSN1;PCDHB10;SOX6;OPHN1;MARCKS;DPF1;DPYSL5;SEMA6B;PCDHB9;CDH2;UNC119B;APBA1;FBXL17;ACTL6B;SLITRK1;DCLK1;TAGLN3;ZC4H2;PTN;LDB2;DCX;MOG;MDGA2;HPCAL4;MERTK;EFNB3;CNTFR;NES;SH3GL3;MOBP;SPOCK2;GMFB;OLFM1;ALDH5A1;SEMA5A;GLRB;LGI1;MYT1L;SCN2A;NR2E1;NOG;FGF12;ITM2B;EDNRB;LY6H;PKD2;NRSN2;PRPS1;FUZ;ADORA1;ZBTB16;KIRREL3;MBD5;APP;RAPGEF5;NFASC;NDP;TYRO3;NRGN;UGT8;SHANK3;S100B;DOC2A;PCDHB16;ST8SIA4;SPTBN1;PCDHB4;FGF11;HES5;SOX3;SERF1A;SHC3;BTBD1;PKD1;HDAC4;GBX2;TPP1;ATXN10;CRIM1;VAX2;LPAR1;DCTN1;SPG7;DCHS1;ELP3;SERPINI1;SRRM4;SOX11;ATXN1;NR2C2;SCN8A;FAT4;SMPD1;ZIC1;GLIS2;GBA2;GSX1;FGF13;MSI1;CLN5;ROBO1;AXL;ROBO2;MDGA1;VEGFA;PCDHB5;BTBD3;PCDHB6;ZIC3;LIG4;MSI2;CXCR4;GRIK1;VLDLR;PMP22;PCDHB14;SPOCK1;GDF11;ZIC4;NAV1;FGF14;ROGDI;DPF2;ATN1;KALRN;PPT1;ARHGAP26;TRAK2;MTR;ZDHHC2;CHD7;EMX1;NEUROD2;NF1;NPTX1;PCDHB3;ASCL1;ZNF76;FABP7;CDK5;P2RX5;BDNF;DHX30;FKTN;ERBB4;JRKL;NAIP;PLXND1;NAV3;NAV2;DYRK1A;ADORA2A;SCIN;NHLH1;ENC1;PCDHB2
7,gsea,Calcium Ion Transport (GO:0006816),0.5259842857214962,2.075472796139729,0.0,0.05731275936443642,0.177,40/107,20.65%,CACNG7;FYN;TRPC1;NALCN;CALCRL;SLC8A3;SLC8A1;ATP2B2;PKD2;ORAI2;CHRNB2;SLC24A2;CLU;SLC8A2;TRPM3;CACNA1A;CACNG8;P2RX7;CACNG3;CAMK2A;CACNB2;CHRNA4;PKD1;CCR1;ITGAV;TRPC3;SLC24A4;CCL3;RAMP2;CACNA1G;CCR5;SLC24A3;CACNB1;TRPC4;RYR3;RAMP3;ANO6;RAMP1;STIM2;CACNA2D1
8,gsea,Regulation Of Neuron Projection Development (GO:0010975),0.5575950556761287,2.073433377155271,0.0,0.052164906726912194,0.18,84/158,25.71%,DENND5A;NOVA2;RUFY3;NLGN1;ATP1B2;CCDC88A;CRMP1;ZDHHC15;NTRK3;CTNNA2;NDRG4;MAGI2;KIF1A;RAPGEF2;STX1B;LRRC4C;FUT9;BRSK1;NTRK2;BRSK2;CDH2;DPYSL3;ABI3;KNDC1;PRKD1;KIDINS220;MT3;PTN;ITM2C;CDK5R1;TOX;RAPGEF1;SEZ6;ARSB;ZNF804A;CAMK1;CX3CL1;CAMK2G;CHN1;NTNG2;CSMD3;SNX3;PLXNB3;MAG;STMN2;ZNF365;PPFIA2;GPC2;CAMK2B;TNR;SCN1B;RIT2;SHANK3;PTPRS;SCARF1;LRRC7;KANK1;NCS1;TBR1;DDR1;LPAR1;PAK3;SERPINI1;IL1RAPL1;SCARB2;PAQR3;LRRK2;DCC;SRCIN1;RAP1A;SPOCK1;CAMK1D;MFSD2A;PTK2B;MYCBP2;DBN1;EFHC2;APOE;NOL3;CDK5;CDKL5;BDNF;EPHA4;TANC2
9,gsea,Axon Development (GO:0061564),0.6098965709000385,2.058830727384697,0.0,0.05655774097759953,0.208,42/91,16.86%,APBB1;GPM6B;NRCAM;ZDHHC17;OLIG2;CTNNA2;MAPT;OLIG1;DSCAML1;MAP1A;MAP1B;SLITRK2;BRSK1;SPTBN4;ATL1;SLITRK3;APLP1;BRSK2;AMIGO1;SLITRK5;PLP1;SLITRK1;GAP43;LLGL1;CDK5R1;MAPK8IP3;NMNAT2;RTN4;SEMA5A;NTNG2;RAB3A;TAOK2;SLITRK4;APP;S100B;SLC25A46;PAK3;DCC;CCK;DOCK7;NEUROD6;TRIM46
