,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,gsea,Epidermis Development (GO:0008544),-0.7169017793121238,-2.2652821153139486,0.0,0.012142716114698887,0.009,43/79,10.86%,GJB5;KRT5;DSP;KRT14;OVOL1;GRHL3;SPRR1B;ZNF750;EVPL;COL17A1;SPRR1A;FABP5;LAMB3;SPRR2D;GRHL1;COL7A1;LAMC2;SPRR2E;KRTDAP;TGM5;FOXN1;S100A7;LAMA3;SPRR2G;SPRR2B;SPINK5;SPRR3;SCEL;PTHLH;NTF4;CDSN;KLK5;CALML5;KLK7;SPRR2F;KRT15;YBX1;WNT10A;SPINT1;HDAC1;EMP1;HDAC2;CASP14
1,gsea,Response To Axon Injury (GO:0048678),0.7549468776052012,2.1332145481405873,0.0,0.09090658608282744,0.046,10/17,14.41%,SARM1;MORN4;P2RY12;DPYSL3;P2RX4;MAPK8IP3;TREM2;MTR;GAP43;TYROBP
2,gsea,Cardiac Ventricle Development (GO:0003231),0.7462484091841427,2.128243026190362,0.0,0.04812701616149688,0.049,11/19,16.73%,PDE2A;MATR3;HEYL;DLL4;HEY1;MDM4;ENG;GATA3;SALL1;GJA5;TBX5
3,gsea,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),-0.5944350686251629,-2.0658243086495194,0.0,0.1463516836982129,0.193,23/56,18.32%,KRT6A;S100A9;PGLYRP3;PGLYRP4;RNASE7;S100A7;RPS19;NRG1;S100A12;F2;CXCL11;DEFB4A;CXCL10;LEAP2;CXCL1;GAPDH;RPL30;RPL39;TSLP;FAU;GNLY;DEFB1;CXCL14
4,gsea,Protein Localization To Cilium (GO:0061512),0.6892293791875002,1.9996301676608736,0.0,0.3734299957716147,0.361,23/35,23.90%,TCTN1;WDR19;CC2D2A;WDR35;BBS1;TUB;TTC21A;TCTN2;FAM149B1;IFT140;RABEP1;BBS4;BBS9;TTC21B;SNX10;ZNF423;TMEM107;DNAH11;IFT122;TTC26;CSNK1D;IFT20;ARL6
5,gsea,Epidermal Cell Differentiation (GO:0009913),-0.6574221742409023,-1.9892062706928906,0.002053388090349076,0.2703352061325068,0.417,27/51,10.00%,DSP;OVOL1;IVL;SPRR1B;TGM1;EVPL;CSTA;SPRR1A;ANXA1;KRT16;EPHA2;S100A7;SPRR2G;SPRR2B;ST14;SPINK5;SPRR3;SCEL;TGM3;CDSN;JAG1;SPRR2F;EREG;KRT10;PITX2;HDAC1;HDAC2
6,gsea,Positive Regulation Of Phosphoprotein Phosphatase Activity (GO:0032516),0.7086884343629948,1.9872173980802175,0.0,0.33555225157043655,0.405,11/17,16.31%,MAGI2;CD300A;PTPRC;ITGA1;CALM2;CALM1;CD33;CALM3;PDGFRB;GNA12;PPP1R12A
7,gsea,Skin Development (GO:0043588),-0.5942263007055669,-1.95883207835752,0.006048387096774193,0.2997333609365146,0.538,29/66,9.89%,DSP;IVL;SPRR1B;TGM1;EVPL;CSTA;SPRR1A;ANXA1;KRT16;ITGB4;ITGA6;EPHA2;S100A7;SPRR2G;SPRR2B;ST14;SPRR3;SCEL;TGM3;CDSN;JAG1;SPRR2F;EREG;ITGA3;KRT10;WNT10A;ASPRV1;RYR1;ACER1
8,gsea,Keratinocyte Differentiation (GO:0030216),-0.6876612865088253,-1.9479752039156955,0.0020242914979757085,0.2731472035485423,0.583,22/40,5.97%,DSP;IVL;SPRR1B;TGM1;EVPL;CSTA;SPRR1A;ANXA1;KRT16;EPHA2;S100A7;SPRR2G;SPRR2B;ST14;SPRR3;SCEL;TGM3;CDSN;JAG1;SPRR2F;EREG;KRT10
9,gsea,Skin Epidermis Development (GO:0098773),-0.7147662470651649,-1.9444992347977026,0.0,0.23784811477300535,0.595,10/20,4.80%,SFN;KRT16;TP63;TMEM79;ALOXE3;CLDN1;ALOX12B;ALOX12;LSR;IL18
10,gsea,Ventricular Septum Development (GO:0003281),0.6113007770743957,1.9417180229495605,0.0,0.4919650540953015,0.553,20/37,20.40%,PDE2A;MATR3;HEYL;SMAD4;APLNR;HEY1;MDM4;BMPR2;SMAD7;TGFBR2;GATA3;ZFPM2;SALL1;BMPR1A;GJA5;SLIT1;TBX5;ROBO2;NOG;CITED2
11,gsea,Regulation Of Multicellular Organism Growth (GO:0040014),0.7029417973594789,1.9377479190538982,0.0,0.4358168685735551,0.574,3/15,3.00%,BBS2;STAT5B;MBD5
12,gsea,Artery Development (GO:0060840),0.6396438184263009,1.932504889424204,0.0,0.4020133691267894,0.596,14/23,17.76%,PDE2A;ACVRL1;PKD2;VEGFA;APLNR;ENG;BMPR2;SMAD7;TGFBR2;EFEMP2;GJA5;SLC2A10;NF1;ROBO2
13,gsea,"Endonucleolytic Cleavage Of Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",-0.8358896315315786,-1.9213058650205854,0.0,0.27599572041153936,0.688,10/12,13.15%,LTB4R2;RPP40;RRS1;TBL3;NOP14;RCL1;BMS1;KRI1;RPS21;TSR1
14,gsea,Regulation Of Vasculogenesis (GO:2001212),0.7180759853051593,1.9178960062732353,0.0019342359767891683,0.4257904068732432,0.658,6/13,12.88%,RAPGEF2;CD34;KDR;HEY1;TMEM100;RAP1A
15,gsea,Cilium Organization (GO:0044782),0.5510932880717525,1.912086582987294,0.0,0.40893109719938553,0.669,92/180,24.64%,TXNDC15;FAM161B;TCTN1;RAB8B;KIF3A;WDR19;ARL3;BBS2;CC2D2A;WDR35;TTLL3;BBS1;IFT88;STK36;IFT46;UNC119B;KIFAP3;TCTN2;FAM149B1;IFT140;NEK1;PKD2;IFT81;TTC30A;CEP290;BBS4;TMEM231;DISC1;CCDC66;BBS9;IFT27;NPHP3;KIF3B;SPAG16;GALNT11;IFT52;ABLIM3;IFT172;DZIP1;CCDC96;BBS5;TTC21B;RABL2B;SNX10;CLUAP1;RILPL2;FUZ;NEDD9;OCRL;RPGR;RP2;TTBK2;HDAC6;DYNC2H1;RAB3IP;TTC8;CDC14B;IQUB;CCDC113;ARMC2;TMEM107;IFT80;TRAF3IP1;TMEM67;INTU;OFD1;B9D2;UBXN10;NUDCD3;CCDC57;RILPL1;FNBP1L;IFT57;MKS1;IFT122;TTC26;KIAA0753;PARVA;KIF27;FBXW8;FAM161A;B9D1;TTC17;CCDC65;CDC14A;RFX3;BBS7;IFT20;ARL6;ARF4;RFX2;IFT74
16,gsea,Peptide Cross-Linking (GO:0018149),-0.7463055755627763,-1.9054384128021664,0.007952286282306162,0.2940614343303066,0.751,15/25,6.88%,DSP;IVL;SPRR1B;TGM1;EVPL;CSTA;SPRR1A;ANXA1;SPRR2E;PI3;TGM5;TGM3;KRT10;KRT1;F13B
17,gsea,Response To Nerve Growth Factor (GO:1990089),0.7586710404422503,1.90103579014876,0.0,0.42512197609322244,0.712,7/13,13.20%,MAPT;MAGI2;RAPGEF2;NTRK3;KIDINS220;RAP1A;STMN2
18,gsea,Cyclic Nucleotide Biosynthetic Process (GO:0009190),0.647782432251265,1.8967166044353891,0.003795066413662239,0.40847197302725,0.72,8/17,21.87%,ADCY2;ADCY4;ADCY5;ADCY6;ADCY8;NPR2;ADCY9;NPPA
19,gsea,Establishment Of Skin Barrier (GO:0061436),-0.7352510650600564,-1.8944597816621331,0.0,0.2974610397922435,0.78,10/18,4.80%,SFN;KRT16;TP63;TMEM79;ALOXE3;CLDN1;ALOX12B;ALOX12;LSR;IL18
20,gsea,Cellular Response To Arsenic-Containing Substance (GO:0071243),-0.7717588176783603,-1.8774597915112077,0.0,0.32631951832448686,0.817,7/13,8.04%,PPIF;ZC3H12A;MAPK13;HSF1;GSTO1;MKNK2;VCP
