,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,243345.38400688974,0.1320897839196972,0.07808583036995076,1.6915973524759802,0.09072277164258336,0.11034304835911911
A1CF,13435.850450424692,0.8714776937899099,0.17852328431483128,4.881591200467902,1.052332344634226e-06,1.855828802559605e-06
A2BP1,3788.2692141829443,-3.140175562470309,0.11990349518880304,-26.189191211863424,3.528560613021849e-151,1.6509607852145676e-149
A2LD1,13518.32323952092,0.05465304297658958,0.027935897983225728,1.9563732302217853,0.0504212032930747,0.06307841604425284
A2ML1,86118.01312361161,-1.8513904035546307,0.11306361446457792,-16.374767535268024,2.8961184707230894e-60,3.150438227398559e-59
A2M,2148856.776721568,-0.08389696682421745,0.04148425684534078,-2.0223808549107507,0.04313702136843976,0.05438690428742207
A4GALT,56686.666359376606,-0.09782204477676551,0.038981964157476096,-2.509418057581505,0.012093026925483396,0.016117436776528292
A4GNT,760.5489222720173,-0.12009138669171222,0.0991042785064359,-1.211767932742817,0.22560122663182636,0.25991519108103484
AAA1,98.71905173294284,0.6946269836473774,0.17440008310336333,3.982950989969921,6.806479602310876e-05,0.00010758117523167915
AAAS,81681.93163541114,0.04783642337923947,0.011817091875771185,4.048070699807236,5.164154893997073e-05,8.222973287241624e-05
AACSL,641.6650154826649,-0.2059512565044999,0.11240198698925029,-1.8322741618811091,0.06691058460201317,0.08266548066072442
AACS,89374.217421716,0.2124414458143914,0.02077321617083554,10.226699807449535,1.5056299259989614e-24,5.687469540433716e-24
AADACL2,324.2282279976362,-0.11292356402200288,0.20570803645239658,-0.5489506679926665,0.5830393051001674,0.6228858840325289
AADACL3,56.07646131603388,-0.680040526747406,0.2563246906996645,-2.6530433915326914,0.007976961554670155,0.010807102344551798
AADACL4,18.91870179511816,-0.4958837117365961,0.20218401534961652,-2.452635589807207,0.014181392209820298,0.018776598727977656
AADAC,45123.13757693411,0.40881357085104514,0.12695046035849866,3.2202606410137156,0.0012807409533627304,0.0018559573245846674
AADAT,15517.657614037418,-0.31180395913859565,0.03932188792135611,-7.929526673851583,2.199827085591145e-15,5.777917237454713e-15
AAGAB,111560.74014516675,0.20399036898192283,0.014847224236945651,13.739293333653281,5.904932546542389e-43,3.9874947617709765e-42
AAK1,123624.34684457224,-0.3664873735668657,0.021396554249638405,-17.128336146604504,9.122656564351959e-66,1.1232512344480061e-64
AAMP,259676.61692806744,0.08256362137253034,0.012301859044043595,6.711475158098694,1.9266659859422018e-11,4.2842164112183585e-11
AANAT,139.26600336947237,-0.798507779438849,0.07338207856921156,-10.881509423117837,1.4120512038425874e-27,5.926887636999007e-27
AARS2,55094.37397217345,-0.026090655812224257,0.016288041492741344,-1.6018289137985915,0.10919344739111324,0.13141826235889822
AARSD1,59153.42698337742,0.07857534034183873,0.01719791504934666,4.568887572498142,4.903196946909534e-06,8.319697162188391e-06
AARS,373188.95220419543,-0.03321265528616705,0.01685124735787783,-1.9709315625611765,0.04873170435282704,0.06108495280489554
AASDHPPT,91969.92710005646,-0.2185328194334351,0.015986244634996163,-13.670053500559831,1.5328244837583914e-42,1.022201072016204e-41
AASDH,26476.189087894938,-0.15247106243568975,0.015427497758314776,-9.883071436747688,4.929825578196627e-23,1.7612206423211505e-22
AASS,49814.62516141912,-0.28840818698828513,0.0376842959500506,-7.6532725295057,1.959280668231529e-14,4.9555411259495844e-14
AATF,140076.28678707048,0.1059544280587349,0.014042273565164805,7.545389823595234,4.5093660010273365e-14,1.1255718201975641e-13
AATK,31386.20244842094,-0.737297652854378,0.04755944995509333,-15.502653070011332,3.3285870441148936e-54,3.123408580399743e-53
ABAT,220205.41533485157,-0.701405928522714,0.052551195897789414,-13.34709736933349,1.2315488578513703e-40,7.743501360472332e-40
ABCA10,2863.4680941459674,-0.19747949430249365,0.04691643438481956,-4.209175247264545,2.5630454136926436e-05,4.1635935274073246e-05
ABCA11P,9699.967248967645,-0.19073770706530066,0.0202003127442985,-9.44231455620092,3.646342510610775e-21,1.2136387427385299e-20
ABCA12,25471.612839939895,0.1380617905503648,0.08088347871798089,1.7069220159502463,0.08783654813855456,0.10696686796290318
ABCA13,20963.893862368805,0.3555396470186397,0.07744028895222965,4.591145666281803,4.40819528488621e-06,7.50355428897625e-06
ABCA17P,2444.6876226382656,-0.05829319009530124,0.05544251885010967,-1.0514166979479853,0.29306725006544676,0.3314144760852338
ABCA1,131641.43073661515,-0.3099170880806934,0.029570788173325365,-10.480514968493715,1.0616407239540333e-25,4.184270653492726e-25
ABCA2,219555.20671641125,-0.6117927815112503,0.030719053505374107,-19.91574321794195,2.972094231451465e-88,5.6639544843381715e-87
ABCA3,198931.28649876185,0.04238423902655704,0.04711981933064126,0.8994991837541969,0.36838683038804776,0.40960268554427404
ABCA4,9586.022603510186,0.5011155797915507,0.06904856604476006,7.257436446496332,3.944952327458986e-13,9.465002324740393e-13
ABCA5,43405.0423001896,0.16480998148331943,0.029891390528456074,5.513627120371776,3.515129318204826e-08,6.715800902414608e-08
