,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,271577.79200241703,-4.545871238587744,0.07186739346442565,-63.253598321162855,0.0,0.0
A1CF,13381.330914557591,-2.454065332154364,0.17222868359151447,-14.248877021987953,4.55547810921066e-46,2.582791126319604e-45
A2BP1,3645.4812887701105,-2.013553822882071,0.11779839721070877,-17.093219182603814,1.66711246430541e-65,1.4727607247600831e-64
A2LD1,13518.32323952092,-0.336496594521784,0.0270210071525566,-12.453147753596825,1.3443646635983635e-35,5.927902591612021e-35
A2ML1,87903.45856623047,-2.6475235429668578,0.10935453185883282,-24.21046021562765,1.7263512805533948e-129,4.048174419859885e-128
A2M,2148856.776721568,-0.3545062594881181,0.04028735055510463,-8.799443363822798,1.3749644238629337e-18,3.621848826621736e-18
A4GALT,56686.666359376606,-0.4827699084911645,0.03772734168125757,-12.79628743975349,1.7197851537332196e-37,7.933931781297812e-37
A4GNT,910.0036372555935,2.121014300013274,0.09564047455074151,22.176952905937142,5.733275759304211e-109,1.0372897315989147e-107
AAA1,98.08802122538228,-0.27847906935345457,0.17009546707263562,-1.6371927726594624,0.10159019670113366,0.11997486879343629
AAAS,81681.93163541114,-0.06420324421584181,0.011500494399635627,-5.582650796114989,2.3688006628943793e-08,4.2319466946855264e-08
AACSL,667.1880374009138,-0.48638727329757886,0.10982043472186936,-4.428932325112358,9.470073032027441e-06,1.4903370177164574e-05
AACS,89374.217421716,-0.11879028676259315,0.020309456903040417,-5.849013458592766,4.944970817427669e-09,9.115190727940843e-09
AADACL2,333.98638956269684,-2.1590779894744876,0.19856786291582473,-10.87324986918828,1.5459408881874205e-27,5.409331414503483e-27
AADACL3,59.618840585215516,-0.9301462417203742,0.2501769108417421,-3.71795398140786,0.00020084284411554063,0.00029239362342663
AADACL4,19.3246266934665,0.3575523216773753,0.19715787014024042,1.8135330911367862,0.06974963956769532,0.08384126638875986
AADAC,50345.06741478393,-2.7626612277544345,0.12251529607544027,-22.549520886382158,1.3574691886582055e-112,2.575016576509703e-111
AADAT,15517.657614037418,-0.1884374292450703,0.03836007388445168,-4.912332281024328,8.999936034170461e-07,1.4910035653549207e-06
AAGAB,111560.74014516675,0.0440678617251355,0.014604536540626926,3.0174091182248364,0.0025494547468716414,0.0034493221163138387
AAK1,123624.34684457224,0.37015700045303734,0.020786814588040218,17.807297933277795,6.203309511400276e-71,6.035476185231416e-70
AAMP,259676.61692806744,-0.15533302449403652,0.01190310440203753,-13.049790982884026,6.372198364124605e-39,3.0381758140874254e-38
AANAT,136.07474187251512,0.04215793108080359,0.07144351108620035,0.590087615234053,0.5551319114593292,0.5924473010614086
AARS2,55094.37397217345,-0.04826122696881971,0.01585913610481423,-3.043118278943923,0.0023414028423119934,0.0031750108895681754
AARSD1,59153.42698337742,-0.20899754772610676,0.016633943099483753,-12.56452222279113,3.308676898047011e-36,1.480431074584499e-35
AARS,373188.95220419543,-0.34119534431912824,0.016049969717540042,-21.258317013910407,2.7614279423904726e-100,4.464345062701802e-99
AASDHPPT,91969.92710005646,-0.19697009611055574,0.01559144253301828,-12.63321823451734,1.3849586874929395e-36,6.278273747267548e-36
AASDH,26476.189087894938,0.13999174142073925,0.015031316397206597,9.313338747014544,1.2387581926736137e-20,3.503847172551241e-20
AASS,49814.62516141912,-0.5009551319941691,0.03651295188601672,-13.719929672024648,7.714019240032803e-43,4.061333357776194e-42
AATF,141169.6403990957,-0.2364146723350159,0.01415358131518117,-16.703523092168684,1.2354933172071777e-62,1.0297801383470473e-61
AATK,31386.20244842094,-0.4135179800359558,0.046586073382300065,-8.876429156037608,6.904107454260725e-19,1.8369438316865726e-18
ABAT,220205.41533485157,-1.0272096120695395,0.05080593840812905,-20.21829818037932,6.757424909874874e-91,9.293285582134675e-90
ABCA10,2907.8162333686814,0.5437762899586357,0.04574345983833914,11.887519918265525,1.374269286374485e-32,5.573197261380009e-32
ABCA11P,9699.967248967645,0.25621411938645683,0.019582862818784356,13.08358853133006,4.086812579002119e-39,1.959552019623301e-38
ABCA12,25471.612839939895,-0.41059125106712635,0.07871249660129583,-5.216341353608733,1.8249173467531317e-07,3.126367113526912e-07
ABCA13,20963.893862368805,-0.5281820721970979,0.07536051160018425,-7.008737878523192,2.404774924104051e-12,5.07904833508497e-12
ABCA17P,2444.6876226382656,-0.6281108150886413,0.053726454172083764,-11.690903946067731,1.4186853324081584e-31,5.586365110434447e-31
ABCA1,131641.43073661515,-0.35888373515129696,0.028743117468860886,-12.485901556784746,8.912798772420836e-36,3.9437197003011673e-35
ABCA2,219555.20671641125,-0.0772476163418004,0.03041928417160775,-2.5394291300878313,0.011103353821717118,0.014303649600457609
ABCA3,198931.28649876185,-0.2544207480847544,0.04584171049682349,-5.54998374465944,2.8569616092206472e-08,5.083982916075979e-08
ABCA4,9344.30573323152,-0.33395722260835153,0.06705510876388061,-4.980339734953027,6.347274765099068e-07,1.0600839465727942e-06
ABCA5,43405.0423001896,-0.05465564411400566,0.029152239700134027,-1.8748351645089685,0.06081540387421149,0.0735931468760821
ABCA6,21741.872298601887,-0.8501173364195672,0.05937709073325418,-14.317261521596551,1.7071886632892585e-46,9.76344986023871e-46
ABCA7,48472.415523124146,0.30157703930573254,0.02890956256142584,10.431739970639615,1.7760578586976382e-25,5.811878079731789e-25
ABCA8,30739.845520445753,0.30989142747945025,0.05985480521359075,5.177385948774012,2.2501641456080278e-07,3.8380827134589625e-07
ABCA9,8416.227593933261,0.6504825130237832,0.04908836730853596,13.251255820656946,4.437155954052912e-40,2.1783374888758553e-39
ABCB10,51216.99322750378,-0.02637034058174816,0.017730904419120515,-1.487252988252033,0.1369480058687227,0.159355117279441
ABCB11,4398.661860626782,-4.4177193976968,0.11952416847893271,-36.96088794355818,4.869258765634156e-299,3.871441129520219e-297
ABCB1,41026.37700166185,-1.1768270466941493,0.050477112032058444,-23.314072444293892,3.1916700524898607e-120,6.642459330100063e-119
ABCB4,25392.3550574669,-2.993104515449019,0.06371327430133092,-46.97772243336889,0.0,0.0
ABCB5,8477.274416717857,-1.1291183248242054,0.11179184590400433,-10.10018499733674,5.5138075271543356e-24,1.7252580846687062e-23
ABCB6,84041.10231988688,-0.44607184073929346,0.025335247714388356,-17.606768474024474,2.185726790435919e-69,2.0663392054125728e-68
ABCB7,45788.82458474211,-0.07415643650078158,0.012532655838312031,-5.917056804040458,3.277535242832793e-09,6.095107568078453e-09
ABCB8,84183.00552614806,-0.1683680784295767,0.016618736735974433,-10.131220026195601,4.0160687750493594e-24,1.2601058092701503e-23
ABCB9,18072.03180908345,0.006344945834882545,0.02370671027921458,0.26764345453892974,0.7889737789049496,0.8152488727704001
ABCC10,57727.27742720327,0.08914290153353346,0.017520621342131504,5.087884715547914,3.6207935225831546e-07,6.119540924907211e-07
ABCC11,22126.89596853685,0.5630491951563013,0.08172692740204893,6.889396347747503,5.6029631710961575e-12,1.163463705208031e-11
ABCC12,430.5244666599715,0.3081322221566715,0.14658143550441102,2.1021231037637027,0.03554249351521974,0.04396158926888567
ABCC13,914.6293632622799,0.7955626778794719,0.1221405282395372,6.513502842555631,7.341821547611732e-11,1.4621862600791507e-10
ABCC1,216118.59538936266,-0.06838253301387388,0.030210451237935934,-2.2635389480050008,0.023602486512597592,0.029652799856639184
ABCC2,35466.98631788758,-1.4375110673857987,0.07176619045944062,-20.030477557509794,2.9877909028878323e-89,4.0247184670667727e-88
ABCC3,193628.89440585568,0.2477654383874286,0.05037147035339266,4.918765258372906,8.709183689708554e-07,1.444245761938471e-06
ABCC4,136811.33718433077,0.3416642655703528,0.048867006843528155,6.991716653822477,2.7154288016073666e-12,5.720330969562859e-12
ABCC5,160144.48761063116,-0.4267949879127091,0.03444228196972691,-12.391600193269458,2.90194354202195e-35,1.2653418777702394e-34
ABCC6P1,5507.697695880019,-1.6164552633472604,0.0793093525520348,-20.381647451814786,2.433262582196994e-92,3.429821786567702e-91
ABCC6P2,5690.827774532491,-0.6502913811519635,0.05284198770880376,-12.306338374996848,8.373675780211447e-35,3.6048603390529567e-34
ABCC6,43293.27327953435,-1.358709090672762,0.05903846902613716,-23.013962134947,3.3785872072022445e-117,6.741937648568086e-116
ABCC8,12796.405376457891,0.06342363397391682,0.09840582092376937,0.6445109992329447,0.519244127418178,0.5569506202292156
ABCC9,32197.849307563272,0.10313896145085191,0.04301792495471461,2.3975810446326107,0.016503729582562163,0.020979072690698868
ABCD1,69312.58824725173,-0.18661709249273903,0.028768557323585412,-6.486842228259537,8.765404136493084e-11,1.739746814180207e-10
ABCD2,3835.542204416189,-0.2746784031844749,0.052667261526162,-5.215353812311483,1.8346670358376745e-07,3.142540843847516e-07
ABCD3,152320.66386621905,-0.11440122785751769,0.020597445578234747,-5.554146383006109,2.78971633264112e-08,4.967794071266611e-08
ABCD4,64818.78602407512,-0.015231391529416624,0.015223446733276854,-1.000521878933133,0.31705801491835905,0.35200997303487047
ABCE1,154722.66164020888,-0.0836268603319931,0.014536620083578481,-5.752840746416939,8.775614703330075e-09,1.600527434333157e-08
ABCF1,203316.54981390052,-0.1823796960852273,0.013609231403148434,-13.401175325965475,5.951315327789276e-41,2.9872520883310216e-40
ABCF2,147790.1908276335,-0.2055979356197574,0.01279763029139419,-16.065312947664413,4.4660475231182034e-58,3.334626973057517e-57
ABCF3,131308.8702899266,-0.256891132661513,0.013354832835909084,-19.23581791085938,1.8559232959476678e-82,2.2445313586285703e-81
ABCG1,86155.04226548536,-0.2661403762753363,0.02671661820680328,-9.96160420511473,2.244119739719009e-23,6.909514330262971e-23
ABCG2,28788.455587538992,-0.8645614319938174,0.04772545177062731,-18.115311640190967,2.4130237240994333e-73,2.4817930712642685e-72
ABCG4,1679.6116888680044,-0.5693640451933428,0.053831471163041614,-10.576787758017728,3.818249485137418e-26,1.277393984557643e-25
ABCG5,7642.872085034667,-3.723839859035862,0.08445848401688627,-44.090773145908386,0.0,0.0
ABCG8,10091.604996541895,-4.37708544353298,0.14630596296967743,-29.917341403508967,1.1707869142886212e-196,4.8932642409508415e-195
ABHD10,78257.35304826546,-0.05967492799380036,0.01666976880505921,-3.5798293720599927,0.0003438186354502521,0.0004931701554583813
ABHD11,94650.9442198471,0.16659038556138583,0.027320585819326604,6.097613962711578,1.0766336141959473e-09,2.0447700460338073e-09
ABHD12B,2057.2936486697995,-0.19655908816263898,0.07365080038653832,-2.668797720201904,0.007612328007742853,0.009928317587440602
ABHD12,198732.2774118527,-0.07055150414983041,0.018471040241061266,-3.8195739508484134,0.00013368237736164707,0.00019672989001655444
ABHD13,48306.73052524429,0.10619197572911161,0.014268544648883363,7.442383112101208,9.88849450153182e-14,2.2023242924190686e-13
ABHD14A,41473.08486216032,0.2676531066463843,0.026326486107877686,10.166685578532046,2.792495276929123e-24,8.80533677251981e-24
ABHD14B,195636.38362579636,-0.025046929051206125,0.02418190145435956,-1.0357716947312519,0.3003086656880891,0.3344079676011216
ABHD15,39866.487368579576,0.00784901277051522,0.019781241982139958,0.39679069583203713,0.6915218123785808,0.7235880613383525
ABHD1,2207.054079901305,-0.06354165351686512,0.04425801489237673,-1.4357095245094222,0.1510850138784689,0.17496497340022507
ABHD2,601272.0331114806,0.2837731149496398,0.029963284747984646,9.470694462786714,2.779893021710508e-21,8.02694602977666e-21
ABHD3,62410.384290327565,-0.0685377016048654,0.02537489150463135,-2.7010047153248355,0.0069130358406127804,0.009041183030253327
ABHD4,114146.67632820988,-0.028672468263804176,0.019831892991618333,-1.4457756642758304,0.14824013392616797,0.17183664707177077
ABHD5,64120.91804010471,-0.03510447542369109,0.017699790979732472,-1.9833271174720781,0.047330902267229816,0.05786025133616791
ABHD6,38806.3108857066,-0.8770868195100976,0.030312669883854768,-28.934660749802656,4.3768894625943163e-184,1.6777252000309738e-182
ABHD8,37389.05054260072,-0.08427544712438928,0.024179750597767374,-3.4853728860284776,0.000491451660750061,0.0006975597700771785
ABI1,165793.15055531086,-0.12285176853727159,0.014044150750784265,-8.747539863199718,2.1805435080941316e-18,5.698136161734235e-18
ABI2,148572.9441481737,-0.039147201258234475,0.024251816776761137,-1.6141966442591043,0.10648477965678674,0.1254277317786017
ABI3BP,60844.83296191329,0.32736454102266416,0.04924545522990822,6.647609195494776,2.9789197605542986e-11,6.030127578948005e-11
ABI3,28094.29107605766,-0.1563243130744985,0.02727612596949565,-5.731177266497609,9.973596680112e-09,1.814794120208182e-08
ABL1,242898.61610793765,0.13094846806188526,0.015970533785655546,8.199379546067576,2.4163089900218856e-16,5.897068726967081e-16
ABL2,104163.79564953248,0.11804222251845067,0.02089630162857529,5.648952844221496,1.6142812537422196e-08,2.906420224561622e-08
ABLIM1,377002.2814564746,-0.0671637318052764,0.028315745905123712,-2.3719570033690403,0.017694149650814322,0.022457237762217044
ABLIM2,21023.16320230221,-0.389915606865366,0.03944285017229212,-9.885583956589288,4.8077048190613383e-23,1.4629395109459483e-22
ABLIM3,76701.27207036554,-0.45512129692954273,0.04302135119508799,-10.578963335338168,3.7306292945142924e-26,1.2495183258276108e-25
ABO,11171.64960563913,0.33657117085023147,0.06303530279902977,5.339407536809864,9.325081339036987e-08,1.6198916580588787e-07
ABP1,142306.6470047515,-0.4039415905281931,0.07853116068726662,-5.143710942167317,2.693638869661687e-07,4.5772520915924177e-07
ABRA,276.87678168072483,0.22278825553851359,0.08959567061942511,2.486596216069967,0.012897168907351353,0.016532874161747663
ABR,289879.6752857591,-0.2846687162975009,0.02688910148903869,-10.586769379911997,3.432337832327711e-26,1.1509358194266592e-25
ABT1,72778.03347483082,-0.13021077521183655,0.014033872699837708,-9.278320959355884,1.721701989402011e-20,4.849643273220113e-20
ABTB1,58834.674701256576,0.0989534146091473,0.01922272537446898,5.147730755211959,2.6365656315933573e-07,4.482139552781357e-07
ABTB2,36843.919358775354,-0.19332207497198836,0.031972452751389595,-6.046519998800723,1.4800786804728704e-09,2.79327969052803e-09
ACAA1,183541.0842710172,-0.5338414298692318,0.028027842007995737,-19.0468259995521,6.980863643980718e-81,8.208463235677848e-80
ACAA2,218707.6639630764,-0.7114176100512805,0.03791257536374521,-18.76468699964894,1.468600555838967e-78,1.6615839751832315e-77
ACACA,206114.54278124945,-0.03264100845334031,0.02387784120241064,-1.3669999803016095,0.17162531168444972,0.19712553433921842
ACACB,75887.76094719599,0.16414238440358278,0.03874084348646047,4.236933675978141,2.2659303332531444e-05,3.487654718922754e-05
ACAD10,65497.75874211704,-0.11755072166717,0.017701562938986122,-6.640697325560725,3.1220255997880766e-11,6.314160280016544e-11
ACAD11,80721.24432665385,-0.878157597877412,0.03709188793949018,-23.675192789053867,6.4959532804362016e-124,1.421705731935467e-122
ACAD8,70592.9287715539,0.08843144454321258,0.025177232792663262,3.512357583990796,0.0004441499729615727,0.0006325376818961553
ACAD9,101283.49016654967,-0.2281541261746568,0.011803854368284664,-19.328781858549153,3.075947726597755e-83,3.78523821204176e-82
ACADL,17695.737057470637,-0.47535155286110836,0.0826418141513732,-5.751949636420339,8.822008368377706e-09,1.6088447122118075e-08
ACADM,120369.99628648568,-0.3932438798258153,0.0235424034798162,-16.703642011868425,1.2330328709594565e-62,1.0281503914587783e-61
ACADSB,147130.940014588,-0.506268304515645,0.03850202875854815,-13.149133197383637,1.7213642562188826e-39,8.340073332796748e-39
ACADS,81915.35699354061,-0.5981214153421677,0.032906139657655264,-18.176590191521328,7.910186414754025e-74,8.21029751585433e-73
ACADVL,565730.6769482379,-0.19206140107399947,0.02097245580784017,-9.157792622559768,5.296968768974413e-20,1.467662705196096e-19
ACAN,19520.512613876002,-0.2751152327970996,0.054155697560757686,-5.080079201056282,3.7727754426847544e-07,6.372174206323583e-07
