,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,270192.4108435341,-4.867149604506851,0.07046026096174482,-69.0765197016427,0.0,0.0
A1CF,13435.850450424692,-1.6386564669721755,0.17160516709918755,-9.548992577974266,1.3096356447552663e-21,2.349609864552551e-21
A2BP1,5296.0918045957005,3.527332062270981,0.11452257685727993,30.80032041775313,2.594678517878635e-208,3.012668941979563e-207
A2LD1,13518.32323952092,-0.15209023315336093,0.02691594809832603,-5.650561986438806,1.5992412351619924e-08,2.255470904967239e-08
A2ML1,91142.29499620743,-2.636206683027765,0.10857721624485778,-24.27955674496873,3.223632835029055e-130,1.9366535632875263e-129
A2M,2148856.776721568,0.37224585515380926,0.03987990598632819,9.334170829826537,1.017847964443184e-20,1.8018157478062762e-20
A4GALT,56686.666359376606,-0.016297357287739952,0.03762102455930225,-0.4331981246829237,0.6648708411610048,0.6845109307532166
A4GNT,908.5282832757475,-1.3728734412095016,0.09674483137275469,-14.190664469917413,1.0466230058254404e-45,2.612258082228205e-45
AAA1,95.90485987765797,-2.0266529014498764,0.16597593211500744,-12.21052278860272,2.731284958900882e-34,5.9141036227094204e-34
AAAS,81681.93163541114,-0.16117020428311188,0.01128752567265942,-14.278612421985219,2.974653781088961e-46,7.46285012452665e-46
AACSL,697.7213355004758,0.5236359667519392,0.10924745297542084,4.793118306105956,1.642087226270615e-06,2.1972942872600157e-06
AACS,89374.217421716,-0.35102875369375064,0.019848315982724865,-17.685568589258214,5.4171835449101794e-70,1.7738313042648292e-69
AADACL2,352.60481945655886,-2.9250196122686827,0.19582914317684724,-14.936589951921446,1.9047610865996445e-50,5.041548394882856e-50
AADACL3,58.49442765157148,-1.4519734493106584,0.24664336070403142,-5.886935067565051,3.934231907767357e-09,5.626175525236899e-09
AADACL4,18.900919768722723,-0.00957868001449979,0.19502018457279663,-0.04911635190727802,0.9608265721972612,0.9638572720799927
AADAC,49793.12424445341,-4.488964876582819,0.11894295177463342,-37.74048659132207,0.0,0.0
AADAT,15517.657614037418,0.23748920940186122,0.037970434327511855,6.254582377262565,3.985810354146606e-10,5.826846509250881e-10
AAGAB,111560.74014516675,-0.3296688206558196,0.014078285363654488,-23.41683039803386,2.879917142507955e-121,1.5868390232432844e-120
AAK1,123624.34684457224,0.16964279425950857,0.020865711615851722,8.130218483927987,4.2851737209834806e-16,7.038446248942685e-16
AAMP,259676.61692806744,-0.05401191352984572,0.011885413611068504,-4.544386531028769,5.5095476141464356e-06,7.26303964626532e-06
AANAT,139.26600336947237,0.9318659573505035,0.07036811408449183,13.24273031151014,4.970832977907687e-40,1.1572267463380197e-39
AARS2,55094.37397217345,-0.12162338068092464,0.01566750246784327,-7.762780374890654,8.308742429764903e-15,1.3319378074776313e-14
AARSD1,59153.42698337742,-0.03731229527206288,0.016606527174413684,-2.246845163963684,0.024649924240700016,0.02838450769377733
AARS,373188.95220419543,0.2849060542160567,0.01598489157092089,17.823458667329778,4.6472323853467226e-71,1.5375449930323015e-70
AASDHPPT,91969.92710005646,0.47517690611266655,0.014728425679507584,32.262572827033694,2.3441922423574126e-228,3.130819481689158e-227
AASDH,26476.189087894938,0.17564567375756993,0.014845676101761088,11.83143647709879,2.685069310282782e-32,5.655204960833583e-32
AASS,49814.62516141912,0.7059865658142145,0.03579388365783152,19.723664874229097,1.3507705441209999e-86,5.295374355747079e-86
AATF,141169.6403990957,-0.17783609133011796,0.014105989137444562,-12.607133721523248,1.9288098791318142e-36,4.288257376280606e-36
AATK,31386.20244842094,1.6694051105495598,0.0433498900746291,38.51001946430756,0.0,0.0
ABAT,220205.41533485157,1.2539551549512407,0.04964948125359367,25.25615823751388,9.6920956528385e-141,6.47645813912918e-140
ABCA10,2907.8162333686814,-0.2877832085231999,0.045520094352996913,-6.322113620668562,2.5800954844012987e-10,3.785156659182935e-10
ABCA11P,9699.967248967645,0.14555366385446278,0.019516719312362336,7.457896049274314,8.791498457714825e-14,1.383395126465617e-13
ABCA12,25471.612839939895,-1.5465911946482442,0.07707802947077726,-20.065266396497673,1.4849265895506164e-89,5.968443089200878e-89
ABCA13,20963.893862368805,-0.9113790874743504,0.07440706107853613,-12.248556444292245,1.7101282330272775e-34,3.7128480058706352e-34
ABCA17P,2444.6876226382656,0.7250704986910628,0.05305012275552994,13.667649781554587,1.5842992557246724e-42,3.802243491453836e-42
ABCA1,131641.43073661515,0.7361547842512128,0.027682067499810736,26.593200968686535,8.135601089337293e-156,6.192671076004909e-155
ABCA2,219555.20671641125,1.0420977571397525,0.028190140349904923,36.96674596879994,3.920614884198452e-299,8.226824263193328e-298
ABCA3,198931.28649876185,1.2004708871807468,0.04399251575614666,27.288070858121277,5.8765521671158635e-164,4.729590463008157e-163
ABCA4,9402.480470985214,-0.5303700181140282,0.06640320946094826,-7.9871142135974456,1.3813410450131054e-15,2.2467488916570843e-15
ABCA5,43405.0423001896,-0.10891042912944783,0.02886305538083612,-3.773350662028659,0.00016106964838797868,0.00020265881333306042
ABCA6,21771.844108850495,-0.9895517391800592,0.05869219926204132,-16.860021461489914,8.855688719009212e-64,2.724436036679467e-63
ABCA7,48472.415523124146,-0.1936338217572287,0.028730060324799182,-6.739763842058072,1.5864426964488342e-11,2.3851717124774392e-11
ABCA8,30739.845520445753,0.6801538104117621,0.059033907951323523,11.521409203886414,1.0291394335273897e-30,2.1173662215724745e-30
ABCA9,8416.227593933261,0.10443231879704408,0.04898182224514796,2.1320627532878063,0.03300168808433316,0.037736874116208824
ABCB10,51216.99322750378,-0.18388827046657555,0.01746576059980265,-10.528500572065173,6.384330859209186e-26,1.2244103487076583e-25
ABCB11,4299.265037624878,-4.958733558057129,0.11714826427062283,-42.328698499552814,0.0,0.0
ABCB1,41026.37700166185,0.5676495598153026,0.05063723374644479,11.21012183757287,3.636924127092002e-29,7.326400799963441e-29
ABCB4,25201.328361731707,-1.9169563529776297,0.06470204185942563,-29.6274475717859,6.62247765120218e-193,6.831926513561539e-192
ABCB5,8856.516982370538,-0.9752017494991867,0.11120603120923941,-8.769324279402602,1.7974168750886677e-18,3.07227268017759e-18
ABCB6,84041.10231988688,-0.10554236451398247,0.025433876096846723,-4.149676758355662,3.329451041441487e-05,4.282045147068118e-05
ABCB7,45788.82458474211,0.0436098762750906,0.012428935193300327,3.5087379245969514,0.00045023832395334884,0.0005580750773854493
ABCB8,84183.00552614806,-0.1097019710669821,0.01651162923597232,-6.643921656621552,3.05444971624692e-11,4.563290481832781e-11
ABCB9,18072.03180908345,0.03875411718590221,0.023479149896384492,1.6505758239513553,0.09882521881890259,0.10953433368764666
ABCC10,57727.27742720327,-0.3812039125714877,0.016951984752625063,-22.48727320925989,5.529478416642475e-112,2.792729620157343e-111
