,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,3757.4736,0.7642340236559132,0.049111572837889576,15.561179972356875,1.336127331655259e-54,1.901045775918053e-53
ENSG00000000005,345.01117,0.6358945632349551,0.10378457310045991,6.127062474106156,8.951633057789982e-10,2.292934873472824e-09
ENSG00000000419,6047.5654,0.18474801909967792,0.04278084995815908,4.3184747212915795,1.571112126798682e-05,2.9696944271139486e-05
ENSG00000000457,1160.6871,0.35084101714439886,0.04541836879788251,7.7246503216724,1.1216081011863817e-14,3.801093366962618e-14
ENSG00000000460,1071.7548,0.577420105291686,0.05174146636854045,11.1597166802131,6.419582797378736e-29,4.034973867397547e-28
ENSG00000000938,369.7594,-0.7158048783365278,0.0979828862573337,-7.305407155047467,2.764284020271462e-13,8.660073891959234e-13
ENSG00000000971,1487.0093,-3.3497374459086133,0.1099148290087207,-30.47575542007024,5.461525437567848e-204,1.521606389350298e-201
ENSG00000001167,1084.8701,0.1072800604718605,0.05692435045824217,1.8846075468275678,0.05948284265798142,0.07641819149416945
ENSG00000001460,890.32697,-0.2156500538101563,0.06923687447796079,-3.1146705485499813,0.0018415046380605635,0.0028628634264165004
ENSG00000001461,1240.2089,-0.9381302698547104,0.05622487758758392,-16.68532347435251,1.6759579900625463e-62,2.9701148995487137e-61
ENSG00000001497,2220.547,0.4454549596766738,0.0666544724269131,6.683046815277354,2.3402477174819375e-11,6.581260013012584e-11
ENSG00000001561,610.88684,-0.04349219487031648,0.07356994791948891,-0.5911679442523469,0.5544078987483166,0.5956777243950523
ENSG00000001617,912.8606,-0.1370567883552941,0.0741904930844354,-1.847363222122156,0.06469451571153223,0.08259167713386148
ENSG00000001626,350.89996,-0.11672230444912933,0.1019550899508045,-1.14484038516812,0.2522752826565423,0.29138622119411656
ENSG00000001631,1261.4811,-0.15351815909231678,0.0592941583450785,-2.5890941599824395,0.00962287776890018,0.013712629436353532
ENSG00000002330,1199.7888,-0.5720366799507004,0.06754013858446001,-8.469581080816996,2.4627713858546944e-17,9.480720180764536e-17
ENSG00000002549,2946.5447,-0.04065402889717866,0.036833386993808746,-1.1037276833654237,0.2697112831340299,0.31009032360323213
ENSG00000002587,1110.9891,0.015235052972361251,0.08317001344670448,0.18317963820125993,0.8546570704042328,0.8740645128429835
ENSG00000002726,204.71802,-0.34112897372025114,0.10166321579371057,-3.3554808497544615,0.0007922714161359571,0.0012815840622885182
ENSG00000002745,283.71912,-0.0918508199984051,0.09718380255554883,-0.9451247798819615,0.34459517577954424,0.3887973446825146
ENSG00000002746,512.02954,-0.20179474154641508,0.08817324673014694,-2.2886164344611832,0.022101648170973758,0.03015005068187948
ENSG00000002822,809.7042,-0.22543260268452125,0.060358127675900534,-3.7349170917793524,0.0001877770389697465,0.00032233399152565743
ENSG00000002834,12286.198,-0.31394108453195196,0.06540446565541029,-4.799994639295437,1.58669877520583e-06,3.2482316006435137e-06
