,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,3757.4736,-0.7390372782725579,0.041030350577717985,-18.011965968282535,1.56953765170667e-72,7.052911128074233e-72
ENSG00000000005,345.01117,-2.3792757124262867,0.08167591346400604,-29.130689961304384,1.467440773682461e-186,4.406000117472653e-185
ENSG00000000419,6047.5654,0.24530068420591958,0.036190076959155396,6.778119993576394,1.2174971587426325e-11,1.9061181340481886e-11
ENSG00000000457,1160.6871,-0.8213237876442969,0.035925373666720495,-22.86194140285675,1.1117487370625905e-115,9.80040461369377e-115
ENSG00000000460,1071.7548,-1.297158379568366,0.039212171160235815,-33.08050386365204,5.668401730334618e-240,4.270908976692372e-238
ENSG00000000938,369.7594,-1.004721811569248,0.08055077567632932,-12.473148807485611,1.046091297332538e-35,2.6596294019617586e-35
ENSG00000000971,1487.0093,2.4327124334178882,0.08869457197994743,27.42797421659456,1.2724903038332074e-165,2.5365114542299207e-164
ENSG00000001167,1084.8701,-0.4849125964716905,0.046737374833864385,-10.375263869556031,3.2132344814073185e-25,6.810783631857692e-25
ENSG00000001460,890.32697,-0.04272752896941979,0.05759800039695216,-0.7418231305766085,0.45819450426771857,0.4772776420421936
ENSG00000001461,1240.2089,0.2751360791039297,0.04764499673749457,5.774710839415577,7.708535029947022e-09,1.1184237575241047e-08
ENSG00000001497,2220.547,-1.1798122991809277,0.0531208902431788,-22.209949678552803,2.7524570459211424e-109,2.1866336478869552e-108
ENSG00000001561,610.88684,-0.976141666055151,0.05955327021174373,-16.39106740208296,2.215203688433642e-60,8.241658443302805e-60
ENSG00000001617,819.22473,-0.38627513100145594,0.057423324327654776,-6.72679848344182,1.734366701753754e-11,2.703319423238352e-11
ENSG00000001626,350.89996,-2.6096966695383395,0.07915585263561326,-32.96909303158972,2.2533650565435644e-238,1.6360795986298121e-236
ENSG00000001631,1261.4811,0.08103315517687001,0.04926525987243977,1.644833608646039,0.10000412926948227,0.1098926315032469
ENSG00000002330,1199.7888,-0.08600407277544847,0.05633089852687333,-1.52676550569168,0.12681933192012715,0.13850812256387302
ENSG00000002549,2946.5447,0.4331214057455685,0.029726425490150865,14.570248477707919,4.343084544733837e-48,1.3365053389651004e-47
ENSG00000002587,1110.9891,0.2410562033067408,0.06913406805112995,3.486793271422437,0.0004888490749560471,0.0006018304303744163
ENSG00000002726,204.71802,-0.8158965261623644,0.08383816168962888,-9.731803628791805,2.2064545326000347e-22,4.411436131600204e-22
ENSG00000002745,283.71912,-0.8800845655430088,0.07990775337101781,-11.013756843553201,3.28033573114502e-28,7.334531925927089e-28
ENSG00000002746,512.02954,-1.0051086770511253,0.07206430967160493,-13.947385073573559,3.263529713762354e-44,9.432348847013992e-44
ENSG00000002822,809.7042,-0.3053287928839551,0.04993120085939282,-6.114989978786342,9.65630314928817e-10,1.4365144881220944e-09
ENSG00000002834,12286.198,0.7094782025199745,0.05351406314374092,13.257789837678509,4.067061856211852e-40,1.1063442560721613e-39
ENSG00000002919,1364.3003,-0.3757782054517448,0.03636733697110881,-10.332849109910715,5.005144254129289e-25,1.0567787833004738e-24
ENSG00000002933,304.25424,-1.385261399186082,0.08135148163082993,-17.028102886587213,5.0825397613467185e-65,2.0343744183405843e-64
ENSG00000003056,3951.8955,-0.49609771101501415,0.037376320069963595,-13.273048552837302,3.3180260309640384e-40,9.038188233503679e-40
ENSG00000003137,679.08704,-1.9395475429100804,0.08587411264909657,-22.585939849364898,5.957830139795938e-113,5.019325251389264e-112
ENSG00000003147,1956.7638,-0.7989384129477137,0.05241109393083022,-15.24368894116418,1.8133636731094115e-52,5.9469194645088286e-52
ENSG00000003249,2183.268,-0.6928042560787111,0.058861972221479424,-11.769980344387758,5.573749826418169e-32,1.3320072395868677e-31
ENSG00000003393,1636.738,-0.8145142424274445,0.04334173304206397,-18.792839724173998,8.642837048591236e-79,4.2945328843684365e-78
ENSG00000003400,1059.1538,0.650957505940345,0.06812396608584416,9.55548455766745,1.2300693344641892e-21,2.42292512773446e-21
ENSG00000003402,5794.6035,0.01138197245637958,0.06914853350796323,0.16460179094136276,0.8692574214792413,0.877017341192632
ENSG00000003436,2935.7202,1.0206832590273363,0.0536453187404603,19.02651122207832,1.0287809562663363e-80,5.2692585960114194e-80
ENSG00000003509,1881.9363,-1.1982954285566916,0.036067283590630855,-33.223889055730574,4.865775440459393e-242,3.965441481408403e-240
ENSG00000003756,3928.6611,-0.13651041144945272,0.03486529920869493,-3.915366124705703,9.026712181849605e-05,0.00011415603498211578
ENSG00000003989,1010.89905,-1.4492485651122438,0.07425118659226167,-19.51818727248841,7.691914369522673e-85,4.227024502150533e-84
ENSG00000004059,3762.7231,-0.45772626085779694,0.05985147291774552,-7.647702530008822,2.0460184495351505e-14,3.441631708148147e-14
ENSG00000004139,732.6371,-0.4530191450993448,0.0602775944887554,-7.515547840646729,5.6673107124772156e-14,9.445517854128692e-14
ENSG00000004399,1299.3021,0.9978060307195605,0.0637043433986676,15.663076918871909,2.7048810582652575e-55,9.33039881313498e-55
ENSG00000004468,348.19934,-0.689555024580953,0.07964349360476142,-8.658020804598765,4.8002593509383274e-18,8.779710996067353e-18
ENSG00000004478,2541.6643,-0.8453590541772223,0.04114586830081041,-20.545417780394054,8.458047952987714e-94,5.366918139660637e-93
ENSG00000004487,3770.8562,-0.7798634207713006,0.04623283340375277,-16.86817275421407,7.714609297262203e-64,3.0242480164005626e-63
ENSG00000004534,2116.9514,0.21969613710331756,0.029501323142196063,7.446992666884279,9.54919251668545e-14,1.5831625567380528e-13
ENSG00000004660,636.7126,-0.9021758292135081,0.06610063762314791,-13.648519313186979,2.0602221037998e-42,5.79649149918309e-42
ENSG00000004700,2359.2554,0.6948596978722238,0.03179539159000644,21.8541009600468,7.105666622059798e-106,5.35382931649537e-105
ENSG00000004766,723.83624,-0.5632543720496241,0.05461348194754927,-10.313467516877482,6.125064499755079e-25,1.2918709983638353e-24
ENSG00000004776,1667.924,1.2079232088695318,0.0933459200934108,12.940289277354262,2.666236670680904e-38,7.058898412101045e-38
