,stem,tumor
GSM1119322_MGG23_rep1.CEL.gz,0.148487174,0.851512826
GSM1119323_MGG23_rep2.CEL.gz,0.1600474582,0.8399525418
GSM1119324_MGG4_rep1.CEL.gz,0.1684590364,0.8315409636
GSM1119325_MGG4_rep2.CEL.gz,0.2370077101,0.7629922899
GSM1119326_MGG6_rep1.CEL.gz,0.09363359517,0.9063664048
GSM1119327_MGG6_rep2.CEL.gz,0.08790038533,0.9120996147
GSM1119328_MGG8_rep1.CEL.gz,0.2940980823,0.7059019177
GSM1119329_MGG8_rep2.CEL.gz,0.3121981305,0.6878018695
GSM1119330_MGG8_rep3.CEL.gz,0.2318591799,0.7681408201
GSM1119331_MGG8_rep4.CEL.gz,0.2265908254,0.7734091746
GSM1119332_NS_rep1.CEL.gz,0.4822286349,0.5177713651
GSM1119333_NS_rep2.CEL.gz,0.395234105,0.604765895
GSM1432701_RLLa-01-A4-1-HuGene_1-a1.CEL.gz,0.5394209012,0.4605790988
GSM1432702_RLLa-02-A4-2-HuGene_1-a1.CEL.gz,0.5177287782,0.4822712218
GSM1432703_RLLa-09-G4-2-HuGene_1-a1.CEL.gz,0.7350202238,0.2649797762
GSM1432704_RLLa-10-G4-3-HuGene_1-a1.CEL.gz,0.7238077084,0.2761922916
GSM1432705_RLLa-03-AB-1-HuGene_1-a1.CEL.gz,0.5553584011,0.4446415989
GSM1432706_RLLa-04-AB-2-HuGene_1-a1.CEL.gz,0.5364565393,0.4635434607
GSM1432707_RLLa-05-AB-4-HuGene_1-a1.CEL.gz,0.5562462186,0.4437537814
GSM1432708_RLLa-11-H6-1-HuGene_1-a1.CEL.gz,0.7172277215,0.2827722785
GSM1432709_RLLa-12-H6-3-HuGene_1-a1.CEL.gz,0.7095993901,0.2904006099
GSM1432710_RLLa-13-H6-4-HuGene_1-a1.CEL.gz,0.7148599856,0.2851400144
GSM802951_RLLa-01-A4-HuGene_1-a1.CEL.gz,0.5142216587,0.4857783413
GSM802952_RLLa-02-A4-P37AG-HuGene_1-a1.CEL.gz,0.5342843481,0.4657156519
GSM802953_RLLa-03-A4-HuGene_1-a1.CEL.gz,0.4891676062,0.5108323938
GSM802954_RLLa-04-A4-P26TK-HuGene_1-a1.CEL.gz,0.573432566,0.426567434
GSM802955_RLLa-05-A4-HuGene_1-a1.CEL.gz,0.4938084921,0.5061915079
GSM802956_RLLa-06-G4-HuGene_1-a1.CEL.gz,0.6889687154,0.3110312846
GSM802957_RLLa-07-G4-P23AG-HuGene_1-a1.CEL.gz,0.6818325113,0.3181674887
GSM802958_RLLa-08-G4-HuGene_1-a1.CEL.gz,0.6888898403,0.3111101597
GSM802959_RLLa-09-G4-P12AG-HuGene_1-a1.CEL.gz,0.6160712445,0.3839287555
GSM802960_RLLa-10-G4-P23TK-HuGene_1-a1.CEL.gz,0.6221734394,0.3778265606
GSM1039221_hyb9131.CEL.gz,0.02196200825,0.9780379917
GSM1039222_hyb9132.CEL.gz,0.1292639448,0.8707360552
GSM1039223_hyb9133.CEL.gz,0.0132450047,0.9867549953
GSM1039224_hyb9134.CEL.gz,0.08527364573,0.9147263543
GSM1039225_hyb9135.CEL.gz,0.08223328222,0.9177667178
GSM1039226_hyb9136.CEL.gz,0.1257009185,0.8742990815
GSM1039227_hyb9137.CEL.gz,0.07843492012,0.9215650799
GSM1039228_hyb9138.CEL.gz,0.1235009863,0.8764990137
GSM1039229_hyb9139.CEL.gz,0.02447598734,0.9755240127
GSM1039230_hyb9140.CEL.gz,0.0623097668,0.9376902332
GSM1039231_hyb9141.CEL.gz,0.09406060245,0.9059393975
GSM1039232_hyb9142.CEL.gz,0.02919125097,0.970808749
GSM1039233_hyb9143.CEL.gz,0.02515395667,0.9748460433
GSM1039234_hyb9144.CEL.gz,0.02174820091,0.9782517991
GSM1039235_hyb9145.CEL.gz,0.2470805342,0.7529194658
GSM1039236_hyb9146.CEL.gz,0.1240828937,0.8759171063
GSM1039237_hyb9147.CEL.gz,0.06445069263,0.9355493074
GSM1039238_hyb9148.CEL.gz,0.05987962034,0.9401203797
GSM1039239_hyb9149.CEL.gz,0.09847845263,0.9015215474
GSM1039240_hyb9150.CEL.gz,0.02542910548,0.9745708945
GSM1039241_hyb9151.CEL.gz,0.09292574138,0.9070742586
GSM1039242_hyb9152.CEL.gz,0.05902964428,0.9409703557
